rate_label	target_rate	actual_rate_train	actual_rate_test	rho	L_usd	model	tau_star_train	tau_star_test	cost_train_at_tau_star	cost_test_at_tau_star_test	cost_test_at_tau_star_train	transfer_gap_usd_per_dec	transfer_gap_rel_pct	n_train	n_test
release	0.014380	0.014380	0.014400	10	5.000000	XGB-20raw	0.075000	0.070000	0.021050	0.023900	0.024250	0.000350	1.464435	50000	10000
release	0.014380	0.014380	0.014400	10	5.000000	XGB-24full	0.070000	0.060000	0.022010	0.023500	0.023950	0.000450	1.914894	50000	10000
release	0.014380	0.014380	0.014400	10	5.000000	XGB-4sensor	0.040000	0.045000	0.063520	0.067100	0.068150	0.001050	1.564829	50000	10000
release	0.014380	0.014380	0.014400	50	25.000000	XGB-20raw	0.030000	0.030000	0.057930	0.059950	0.059950	0.000000	0.000000	50000	10000
release	0.014380	0.014380	0.014400	50	25.000000	XGB-24full	0.030000	0.035000	0.052930	0.058000	0.060650	0.002650	4.568966	50000	10000
release	0.014380	0.014380	0.014400	50	25.000000	XGB-4sensor	0.020000	0.025000	0.182090	0.177450	0.177600	0.000150	0.084531	50000	10000
release	0.014380	0.014380	0.014400	100	50.000000	XGB-20raw	0.020000	0.015000	0.085560	0.096400	0.098050	0.001650	1.711618	50000	10000
release	0.014380	0.014380	0.014400	100	50.000000	XGB-24full	0.020000	0.020000	0.072380	0.085350	0.085350	0.000000	0.000000	50000	10000
release	0.014380	0.014380	0.014400	100	50.000000	XGB-4sensor	0.015000	0.015000	0.242920	0.252350	0.252350	0.000000	0.000000	50000	10000
release	0.014380	0.014380	0.014400	200	100.000000	XGB-20raw	0.015000	0.015000	0.118690	0.126400	0.126400	0.000000	0.000000	50000	10000
release	0.014380	0.014380	0.014400	200	100.000000	XGB-24full	0.020000	0.020000	0.099380	0.125350	0.125350	0.000000	0.000000	50000	10000
release	0.014380	0.014380	0.014400	200	100.000000	XGB-4sensor	0.015000	0.010000	0.310920	0.314000	0.327350	0.013350	4.251592	50000	10000
release	0.014380	0.014380	0.014400	500	250.000000	XGB-20raw	0.010000	0.010000	0.166690	0.191700	0.191700	0.000000	0.000000	50000	10000
release	0.014380	0.014380	0.014400	500	250.000000	XGB-24full	0.015000	0.010000	0.147720	0.216000	0.218000	0.002000	0.925926	50000	10000
release	0.014380	0.014380	0.014400	500	250.000000	XGB-4sensor	0.010000	0.010000	0.377230	0.359000	0.359000	0.000000	0.000000	50000	10000
1.00%	0.010000	0.010004	0.010044	10	5.000000	XGB-20raw	0.050000	0.085000	0.012385	0.023051	0.023453	0.000402	1.742919	49779	9956
1.00%	0.010000	0.010004	0.010044	10	5.000000	XGB-24full	0.065000	0.075000	0.012208	0.023086	0.023438	0.000352	1.522759	49779	9956
1.00%	0.010000	0.010004	0.010044	10	5.000000	XGB-4sensor	0.035000	0.065000	0.044762	0.051913	0.053771	0.001858	3.579403	49779	9956
1.00%	0.010000	0.010004	0.010044	50	25.000000	XGB-20raw	0.025000	0.025000	0.028396	0.077541	0.077541	0.000000	0.000000	49779	9956
1.00%	0.010000	0.010004	0.010044	50	25.000000	XGB-24full	0.030000	0.030000	0.028591	0.083602	0.083602	0.000000	0.000000	49779	9956
1.00%	0.010000	0.010004	0.010044	50	25.000000	XGB-4sensor	0.020000	0.015000	0.127910	0.192833	0.196600	0.003767	1.953282	49779	9956
1.00%	0.010000	0.010004	0.010044	100	50.000000	XGB-20raw	0.025000	0.025000	0.038942	0.137806	0.137806	0.000000	0.000000	49779	9956
1.00%	0.010000	0.010004	0.010044	100	50.000000	XGB-24full	0.025000	0.015000	0.038696	0.141909	0.151551	0.009642	6.794796	49779	9956
1.00%	0.010000	0.010004	0.010044	100	50.000000	XGB-4sensor	0.015000	0.010000	0.181959	0.285591	0.295786	0.010195	3.569738	49779	9956
1.00%	0.010000	0.010004	0.010044	200	100.000000	XGB-20raw	0.020000	0.010000	0.053446	0.240307	0.255524	0.015217	6.332288	49779	9956
1.00%	0.010000	0.010004	0.010044	200	100.000000	XGB-24full	0.020000	0.015000	0.052105	0.242351	0.269470	0.027119	11.190105	49779	9956
1.00%	0.010000	0.010004	0.010044	200	100.000000	XGB-4sensor	0.010000	0.010000	0.246444	0.386033	0.386033	0.000000	0.000000	49779	9956
1.00%	0.010000	0.010004	0.010044	500	250.000000	XGB-20raw	0.015000	0.005000	0.078818	0.389213	0.591000	0.201788	51.845161	49779	9956
1.00%	0.010000	0.010004	0.010044	500	250.000000	XGB-24full	0.015000	0.005000	0.077276	0.411093	0.543677	0.132583	32.251397	49779	9956
1.00%	0.010000	0.010004	0.010044	500	250.000000	XGB-4sensor	0.010000	0.005000	0.342870	0.594952	0.687359	0.092407	15.531762	49779	9956
0.50%	0.005000	0.005007	0.005047	10	5.000000	XGB-20raw	0.075000	0.060000	0.002160	0.013477	0.013780	0.000303	2.247191	49529	9906
0.50%	0.005000	0.005007	0.005047	10	5.000000	XGB-24full	0.060000	0.070000	0.005469	0.016876	0.017128	0.000252	1.495475	49529	9906
0.50%	0.005000	0.005007	0.005047	10	5.000000	XGB-4sensor	0.030000	0.095000	0.022297	0.028283	0.030554	0.002271	8.030810	49529	9906
0.50%	0.005000	0.005007	0.005047	50	25.000000	XGB-20raw	0.040000	0.030000	0.004149	0.054714	0.063144	0.008429	15.405904	49529	9906
0.50%	0.005000	0.005007	0.005047	50	25.000000	XGB-24full	0.040000	0.015000	0.007255	0.062454	0.066341	0.003887	6.223017	49529	9906
0.50%	0.005000	0.005007	0.005047	50	25.000000	XGB-4sensor	0.015000	0.020000	0.066463	0.115654	0.116512	0.000858	0.741923	49529	9906
0.50%	0.005000	0.005007	0.005047	100	50.000000	XGB-20raw	0.040000	0.010000	0.005663	0.097567	0.123713	0.026146	26.797724	49529	9906
0.50%	0.005000	0.005007	0.005047	100	50.000000	XGB-24full	0.035000	0.010000	0.008305	0.110102	0.122468	0.012366	11.231618	49529	9906
0.50%	0.005000	0.005007	0.005047	100	50.000000	XGB-4sensor	0.010000	0.015000	0.098939	0.204843	0.212868	0.008025	3.917856	49529	9906
0.50%	0.005000	0.005007	0.005047	200	100.000000	XGB-20raw	0.025000	0.010000	0.007632	0.173279	0.207753	0.034474	19.895135	49529	9906
