rate	fset	p_at_1	p_at_1_anchor	delta
1.44	24full	0.41	0.41	0.0
1.44	20raw	0.37	0.41	-0.04
1.44	20raw+minmax	0.41	0.41	0.0
1.44	20raw+stat	0.41	0.41	0.0
1.0	24full	0.29	0.29	0.0
1.0	20raw	0.26	0.29	-0.03
1.0	20raw+minmax	0.27	0.29	-0.02
1.0	20raw+stat	0.28	0.29	-0.01
0.5	24full	0.1414	0.1414	0.0
0.5	20raw	0.1515	0.1414	0.0101
0.5	20raw+minmax	0.1515	0.1414	0.0101
0.5	20raw+stat	0.1616	0.1414	0.0202
0.1	24full	0.0606	0.0606	0.0
0.1	20raw	0.0505	0.0606	-0.0101
0.1	20raw+minmax	0.0404	0.0606	-0.0202
0.1	20raw+stat	0.0505	0.0606	-0.0101
0.05	24full	0.0202	0.0202	0.0
0.05	20raw	0.0202	0.0202	0.0
0.05	20raw+minmax	0.0101	0.0202	-0.0101
0.05	20raw+stat	0.0101	0.0202	-0.0101
