sigma	rho	delta_cost_per_dec	ci_lo	ci_hi	sensor_wins_sig	sensor_loses_sig
0.0	2	0.003033875	0.0026000000000000003	0.0035	False	True
0.0	5	0.002338125	0.0010499999999999993	0.0036512499999999995	False	True
0.0	10	0.0005058749999999998	-0.002399999999999999	0.00325	False	False
0.0	20	-0.00035312500000000014	-0.00545	0.00485749999999999	False	False
0.0	50	-0.0025707500000000006	-0.016016250000000003	0.010806249999999995	False	False
0.0	100	-0.007583375	-0.02519999999999999	0.010688749999999969	False	False
0.0	200	-0.011009375	-0.04830625000000001	0.02760499999999999	False	False
0.0	500	-0.0029187500000000016	-0.06181875000000002	0.07177624999999999	False	False
0.005	2	0.003059875	0.0025987499999999986	0.0035499999999999998	False	True
0.005	5	0.00218625	0.0005987500000000003	0.0036499999999999974	False	True
0.005	10	0.0001871249999999998	-0.0032512499999999994	0.003003749999999996	False	False
0.005	20	-0.0006912500000000005	-0.005802500000000002	0.005158749999999991	False	False
0.005	50	-0.0025716250000000006	-0.015756250000000003	0.010267499999999983	False	False
0.005	100	-0.006959625000000002	-0.024652499999999994	0.011999999999999993	False	False
0.005	200	-0.017764125000000002	-0.04891375000000001	0.015827499999999967	False	False
0.005	500	-0.03426625	-0.09820625	0.04408249999999979	False	False
0.01	2	0.003391	0.0029000000000000002	0.0038999999999999994	False	True
0.01	5	0.0026635	0.0011987500000000002	0.00425	False	True
0.01	10	0.00047162500000000026	-0.00255125	0.0035	False	False
0.01	20	0.0016637499999999996	-0.004451249999999999	0.00796624999999998	False	False
0.01	50	0.001746875	-0.011557499999999993	0.013672499999999978	False	False
0.01	100	-0.00159625	-0.02250125000000001	0.021951250000000005	False	False
0.01	200	-0.0012318750000000008	-0.0383525	0.03736499999999998	False	False
0.01	500	-0.0199865	-0.0771025	0.03775625	False	False
0.02	2	0.00340725	0.00295	0.0038499999999999997	False	True
0.02	5	0.003035625	0.0015500000000000032	0.004449999999999999	False	True
0.02	10	0.00163875	-0.0014525000000000028	0.0046524999999999995	False	False
0.02	20	0.0025568749999999997	-0.0034512500000000042	0.009253749999999995	False	False
0.02	50	-0.0016841249999999994	-0.015306249999999997	0.011599999999999996	False	False
0.02	100	-0.00926525	-0.029366250000000007	0.013702499999999998	False	False
0.02	200	-0.0067931250000000006	-0.051212499999999994	0.036708750000000005	False	False
0.02	500	0.007619249999999999	-0.04637124999999999	0.07212125	False	False
0.05	2	0.00334175	0.0028500000000000005	0.0038499999999999997	False	True
0.05	5	0.00286175	0.0011962500000000003	0.004200000000000001	False	True
0.05	10	0.0013592499999999998	-0.0016012500000000007	0.0037999999999999983	False	False
0.05	20	0.0021886249999999996	-0.0041012500000000025	0.008251250000000003	False	False
0.05	50	0.0030805	-0.011707500000000004	0.01682124999999999	False	False
0.05	100	0.0024273750000000003	-0.01975125000000001	0.02621	False	False
0.05	200	0.011648625	-0.03331125	0.05500625	False	False
0.05	500	0.025139999999999996	-0.039005000000000005	0.10033874999999996	False	False
