seed	rate_pct	tier	fset	cost_llm_per_call	n_test	n_pos	n_xgb_pos	n_lift	n_waste	n_xgb_only	n_llm_only	value_rate	esc_prec	esc_prec_boot_mean	esc_prec_boot_lo	esc_prec_boot_hi	esc_cost_per_lift	esc_value	breakeven
20260706	1.44	cheap_heuristic	24full	0.0001	10000	144	48	50	4945	74	4995	0.5208333333333334	0.01001001001001001	0.00010050050050050049	0.0	0.0002002002002002002	0.00999	2500.0	True
20260706	1.44	small_open	24full	0.0006	10000	144	48	50	4945	74	4995	0.5208333333333334	0.01001001001001001	0.00010050050050050049	0.0	0.0002002002002002002	0.05994	2500.0	True
20260706	1.44	iter120_default	24full	0.001	10000	144	48	50	4945	74	4995	0.5208333333333334	0.01001001001001001	0.00010050050050050049	0.0	0.0002002002002002002	0.0999	2500.0	True
20260706	1.44	mid_tier	24full	0.005	10000	144	48	50	4945	74	4995	0.5208333333333334	0.01001001001001001	0.00010050050050050049	0.0	0.0002002002002002002	0.49950000000000006	2500.0	True
20260706	1.44	frontier_gpt4	24full	0.03	10000	144	48	50	4945	74	4995	0.5208333333333334	0.01001001001001001	0.00010050050050050049	0.0	0.0002002002002002002	2.997	2500.0	True
20260706	1.44	cheap_heuristic	20raw	0.0001	10000	144	50	52	4957	88	5009	0.5531914893617021	0.010381313635456179	0.00013355959273308045	0.0	0.00019964064683569574	0.009632692307692307	2600.0	True
20260706	1.44	small_open	20raw	0.0006	10000	144	50	52	4957	88	5009	0.5531914893617021	0.010381313635456179	0.00013355959273308045	0.0	0.00019964064683569574	0.057796153846153844	2600.0	True
20260706	1.44	iter120_default	20raw	0.001	10000	144	50	52	4957	88	5009	0.5531914893617021	0.010381313635456179	0.00013355959273308045	0.0	0.00019964064683569574	0.09632692307692309	2600.0	True
20260706	1.44	mid_tier	20raw	0.005	10000	144	50	52	4957	88	5009	0.5531914893617021	0.010381313635456179	0.00013355959273308045	0.0	0.00019964064683569574	0.48163461538461544	2600.0	True
20260706	1.44	frontier_gpt4	20raw	0.03	10000	144	50	52	4957	88	5009	0.5531914893617021	0.010381313635456179	0.00013355959273308045	0.0	0.00019964064683569574	2.889807692307692	2600.0	True
20260706	1.44	cheap_heuristic	20raw+minmax	0.0001	10000	144	50	52	4958	89	5010	0.5531914893617021	0.010379241516966068	0.00013353293413173654	0.0	0.0001996007984031936	0.009634615384615384	2600.0	True
20260706	1.44	small_open	20raw+minmax	0.0006	10000	144	50	52	4958	89	5010	0.5531914893617021	0.010379241516966068	0.00013353293413173654	0.0	0.0001996007984031936	0.0578076923076923	2600.0	True
20260706	1.44	iter120_default	20raw+minmax	0.001	10000	144	50	52	4958	89	5010	0.5531914893617021	0.010379241516966068	0.00013353293413173654	0.0	0.0001996007984031936	0.09634615384615385	2600.0	True
20260706	1.44	mid_tier	20raw+minmax	0.005	10000	144	50	52	4958	89	5010	0.5531914893617021	0.010379241516966068	0.00013353293413173654	0.0	0.0001996007984031936	0.48173076923076924	2600.0	True
20260706	1.44	frontier_gpt4	20raw+minmax	0.03	10000	144	50	52	4958	89	5010	0.5531914893617021	0.010379241516966068	0.00013353293413173654	0.0	0.0001996007984031936	2.890384615384615	2600.0	True
20260706	1.44	cheap_heuristic	20raw+stat	0.0001	10000	144	50	53	4944	76	4997	0.5638297872340425	0.010606363818290974	0.00015729437662597562	0.0	0.00020012007204322593	0.009428301886792454	2650.0	True
20260706	1.44	small_open	20raw+stat	0.0006	10000	144	50	53	4944	76	4997	0.5638297872340425	0.010606363818290974	0.00015729437662597562	0.0	0.00020012007204322593	0.05656981132075471	2650.0	True
20260706	1.44	iter120_default	20raw+stat	0.001	10000	144	50	53	4944	76	4997	0.5638297872340425	0.010606363818290974	0.00015729437662597562	0.0	0.00020012007204322593	0.09428301886792452	2650.0	True
20260706	1.44	mid_tier	20raw+stat	0.005	10000	144	50	53	4944	76	4997	0.5638297872340425	0.010606363818290974	0.00015729437662597562	0.0	0.00020012007204322593	0.47141509433962264	2650.0	True
20260706	1.44	frontier_gpt4	20raw+stat	0.03	10000	144	50	53	4944	76	4997	0.5638297872340425	0.010606363818290974	0.00015729437662597562	0.0	0.00020012007204322593	2.8284905660377357	2650.0	True
20260706	1.0	cheap_heuristic	24full	0.0001	9956	100	34	37	4933	70	4970	0.5606060606060606	0.00744466800804829	0.0	0.0	0.0	0.013432432432432433	1850.0	True
20260706	1.0	small_open	24full	0.0006	9956	100	34	37	4933	70	4970	0.5606060606060606	0.00744466800804829	0.0	0.0	0.0	0.08059459459459459	1850.0	True
20260706	1.0	iter120_default	24full	0.001	9956	100	34	37	4933	70	4970	0.5606060606060606	0.00744466800804829	0.0	0.0	0.0	0.1343243243243243	1850.0	True
20260706	1.0	mid_tier	24full	0.005	9956	100	34	37	4933	70	4970	0.5606060606060606	0.00744466800804829	0.0	0.0	0.0	0.6716216216216216	1850.0	True
20260706	1.0	frontier_gpt4	24full	0.03	9956	100	34	37	4933	70	4970	0.5606060606060606	0.00744466800804829	0.0	0.0	0.0	4.02972972972973	1850.0	True
20260706	1.0	cheap_heuristic	20raw	0.0001	9956	100	37	38	4947	85	4985	0.6031746031746031	0.007622868605817452	0.0	0.0	0.0	0.01311842105263158	1900.0	True
20260706	1.0	small_open	20raw	0.0006	9956	100	37	38	4947	85	4985	0.6031746031746031	0.007622868605817452	0.0	0.0	0.0	0.07871052631578947	1900.0	True
20260706	1.0	iter120_default	20raw	0.001	9956	100	37	38	4947	85	4985	0.6031746031746031	0.007622868605817452	0.0	0.0	0.0	0.1311842105263158	1900.0	True
