tau	fires_per_seed_mean	fires_per_seed_sd	fires_per_seed_lo	fires_per_seed_hi	headroom_wrong_mean	headroom_wrong_lo	headroom_wrong_hi	selectivity_overall
0.50	12.6000	1.6733	11.2000	13.8000	0.0000	0.0000	0.0000	0.1600
0.60	9.0000	1.7321	7.4000	10.0000	0.0000	0.0000	0.0000	0.4000
0.70	4.2000	1.4832	3.0000	5.4000	0.0000	0.0000	0.0000	0.7200
0.80	0.6000	0.8944	0.0000	1.4000	0.0000	0.0000	0.0000	0.9600
0.90	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
