rule	tau	n_seeds	savings_mean	savings_ci_lo	savings_ci_hi	savings_ci_excludes_zero	savings_cv	salvage_mean	salvage_ci_lo	salvage_ci_hi	salvage_ci_excludes_zero
STATIC_G16	0.55	5	-0.6	-0.666667	-0.493333	0	0.19245	0	0	0	0
DUALFORMER_d4	0.55	5	-0.6	-0.666667	-0.493333	0	0.19245	0	0	0	0
DUALFORMER_d8	0.55	5	-0.6	-0.666667	-0.493333	0	0.19245	0	0	0	0
ADAPTIVE_GSTAR	0.55	5	-1.32	-1.68	-0.96	0	0.368375	0.94	0.86	1	1
STATIC_G16	0.65	5	-0.28	-0.346667	-0.2	0	0.353152	0	0	0	0
DUALFORMER_d4	0.65	5	-0.28	-0.346667	-0.2	0	0.353152	0	0	0	0
DUALFORMER_d8	0.65	5	-0.28	-0.346667	-0.2	0	0.353152	0	0	0	0
ADAPTIVE_GSTAR	0.65	5	-1	-1.36	-0.64	0	0.485341	0.886667	0.726667	1	1
STATIC_G16	0.7	5	-0.28	-0.346667	-0.2	0	0.353152	0	0	0	0
DUALFORMER_d4	0.7	5	-0.28	-0.346667	-0.2	0	0.353152	0	0	0	0
DUALFORMER_d8	0.7	5	-0.28	-0.346667	-0.2	0	0.353152	0	0	0	0
ADAPTIVE_GSTAR	0.7	5	-1	-1.36	-0.64	0	0.485341	0.886667	0.726667	1	1
