cell_id	model	task_slice	G	mean_reward	zvf_overall	max_step_zvf	n_sat_band_steps	sat_band_cell	rollouts_baseline	rollouts_C1	rollouts_C2	rollouts_C3
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s0_74596db7ea	meta-llama/Llama-3.2-3B	humaneval_subset	2	0.0	1.0	1.0	32	True	64	128	64	64
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s1_f00f8119db	meta-llama/Llama-3.2-3B	humaneval_subset	2	0.0	1.0	1.0	32	True	64	128	64	64
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s0_f87f680e42	meta-llama/Llama-3.2-3B	humaneval_subset	2	0.0	1.0	1.0	32	True	64	128	64	64
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s1_a0dffa8860	meta-llama/Llama-3.2-3B	humaneval_subset	2	0.0	1.0	1.0	32	True	64	128	64	64
meta-llama-Llama-3-2-3B_humaneval_subset_G32_t0.6_s0_4199d781a5	meta-llama/Llama-3.2-3B	humaneval_subset	32	0.0	1.0	1.0	32	True	1024	2048	512	512
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s0_17fc7e91db	meta-llama/Llama-3.2-3B	humaneval_subset	4	0.0	1.0	1.0	32	True	128	256	64	64
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s1_c2e1c58d03	meta-llama/Llama-3.2-3B	humaneval_subset	4	0.0	1.0	1.0	32	True	128	256	64	64
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s0_88fd09ba58	meta-llama/Llama-3.2-3B	humaneval_subset	4	0.0	1.0	1.0	32	True	128	256	64	64
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s1_ff5b88ec10	meta-llama/Llama-3.2-3B	humaneval_subset	8	0.0	1.0	1.0	32	True	256	512	128	128
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s1_ade17b9ade	meta-llama/Llama-3.2-3B	humaneval_subset	4	0.0	1.0	1.0	32	True	128	256	64	64
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s0_0614d05c8f	meta-llama/Llama-3.2-3B	humaneval_subset	8	0.0	1.0	1.0	32	True	256	512	128	128
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s0_2d6d38d3ef	meta-llama/Llama-3.2-3B	humaneval_subset	8	0.0	1.0	1.0	32	True	256	512	128	128
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s0_fcf1ee8924	meta-llama/Llama-3.2-3B	humaneval_subset	16	0.0	1.0	1.0	32	True	512	1024	256	256
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s1_12354b9ca9	meta-llama/Llama-3.2-3B	humaneval_subset	8	0.0	1.0	1.0	32	True	256	512	128	128
