k	tau	mean_kappa	se_kappa	cv_kappa	n_pairs
2	0.3	0.0	0.0	0.0	1
2	0.4	-0.125	0.0	0.0	1
2	0.5	-0.125	0.0	0.0	1
2	0.55	-0.25	0.0	0.0	1
2	0.6	-0.25	0.0	0.0	1
2	0.65	-0.2162	0.0	0.0	1
2	0.7	-0.2162	0.0	0.0	1
2	0.75	-0.2162	0.0	0.0	1
2	0.8	1.0	0.0	0.0	1
2	0.85	1.0	0.0	0.0	1
2	0.9	1.0	0.0	0.0	1
3	0.3	0.3333	0.2722	1.4142	3
3	0.4	0.0827	0.1585	3.3205	3
3	0.5	0.0827	0.1585	3.3205	3
3	0.55	-0.1346	0.0594	0.0	3
3	0.6	-0.1346	0.0594	0.0	3
3	0.65	-0.0381	0.1454	0.0	3
3	0.7	-0.0381	0.1454	0.0	3
3	0.75	-0.0381	0.1454	0.0	3
3	0.8	1.0	0.0	0.0	3
3	0.85	1.0	0.0	0.0	3
3	0.9	1.0	0.0	0.0	3
4	0.3	0.5	0.2041	1.0	6
4	0.4	-0.0077	0.0876	0.0	6
4	0.5	-0.0077	0.0876	0.0	6
4	0.55	-0.1506	0.0745	0.0	6
4	0.6	-0.1506	0.0745	0.0	6
4	0.65	-0.0705	0.087	0.0	6
4	0.7	-0.0705	0.087	0.0	6
4	0.75	-0.0705	0.087	0.0	6
4	0.8	0.5	0.2041	1.0	6
4	0.85	0.5	0.2041	1.0	6
4	0.9	1.0	0.0	0.0	6
5	0.3	0.2881	0.1478	1.6225	10
5	0.4	0.0097	0.0723	23.5809	10
5	0.5	0.0097	0.0723	23.5809	10
5	0.55	-0.0704	0.1013	0.0	10
5	0.6	-0.0704	0.1013	0.0	10
5	0.65	-0.0516	0.0558	0.0	10
5	0.7	-0.0516	0.0558	0.0	10
5	0.75	-0.0516	0.0558	0.0	10
5	0.8	0.2902	0.1472	1.6039	10
5	0.85	0.2902	0.1472	1.6039	10
5	0.9	1.0	0.0	0.0	10
