axis	metric	eta2_stack_point	eta2_algo_point	ratio_point	ratio_lo	ratio_mean	ratio_hi	n_aligned_boot	ratio_lo_gt_1
model_family	zvf	0.0052930199213006915	0.04541793605770902	0.11654030061109041	0.00019339341592100923	0.3904576692210106	1.9006585422674862	2000	False
model_family	pcd	0.09310553757446549	0.03572866785763276	2.6059056538424854	0.36699363475893676	2.8076607068342874	7.933163193716242	2000	False
task_slice	zvf	0.4686906112465502	0.04541793605770902	10.31950484608155	4.105627713597116	11.938885377539602	32.13765800091176	2000	True
task_slice	pcd	0.4507381003169186	0.03572866785763276	12.61558651201228	5.456425734622779	13.271110318216692	30.560410738325185	2000	True
G	zvf	0.4436565428463211	0.04541793605770902	9.768311406370414	3.5059926573287092	11.54003087727676	32.19085830687065	2000	True
G	pcd	0.2303748551054317	0.03572866785763276	6.447899373785816	2.3882441481672836	7.518170654680379	19.19732670729503	2000	True
temperature	zvf	0.009153099847568277	0.04541793605770902	0.20153051067618197	0.0005505344501828591	0.46437422538603984	2.2855491774467924	2000	False
temperature	pcd	0.00910774325951233	0.03572866785763276	0.25491415733169104	0.0008879623997962906	0.5570803646549457	2.5917988785711747	2000	False
seed	zvf	2.4137681334331252e-05	0.04541793605770902	0.0005314570284228986	0.00021973728290789943	0.2565306453367293	1.494707104992557	2000	False
seed	pcd	0.0006940124182344182	0.03572866785763276	0.01942452545389697	0.00024444613282159936	0.31884554850753527	1.610588319781877	2000	False
