channel	eta2_step_band	eta2_seed	R_step_over_seed	R_ci_lo	R_ci_hi	P_R_gt_1	n_obs	B
zvf	0.0346	0.1025	0.3379	0.2503	27.1111	0.3421	75	2000
reward	0.1468	0.0494	2.9728	2.2429	22.6667	1.0	75	2000
mean_len	0.142	0.0447	3.1739	1.876	619.0052	1.0	75	2000
loss	0.0151	0.0716	0.2113	0.0977	6.1	0.386	75	2000
