decile	cost_ratio	contrast	mean_gap	lo	hi	mean_target	mean_20raw	ci_negative	ci_positive
6	100	24full-20raw	-0.001200	-0.007600	0.005400	0.016600	0.017800	0	0
6	100	4sensor-20raw	0.383400	0.323400	0.433000	0.401200	0.017800	0	1
6	1000	24full-20raw	-0.001200	-0.007400	0.005200	0.016600	0.017800	0	0
6	1000	4sensor-20raw	0.391000	0.324200	0.444600	0.408800	0.017800	0	1
6	10000	24full-20raw	-0.001200	-0.007600	0.005200	0.016600	0.017800	0	0
6	10000	4sensor-20raw	0.391000	0.324200	0.444600	0.408800	0.017800	0	1
7	1	24full-20raw	-0.001000	-0.002200	0.000000	0.002400	0.003400	0	0
7	1	4sensor-20raw	0.015600	0.014600	0.016400	0.019000	0.003400	0	1
7	10	24full-20raw	-0.002800	-0.005800	0.000600	0.004000	0.006800	0	0
7	10	4sensor-20raw	0.122400	0.106200	0.139800	0.129200	0.006800	0	1
7	100	24full-20raw	-0.002800	-0.005800	0.000600	0.004000	0.006800	0	0
7	100	4sensor-20raw	0.239800	0.217385	0.265200	0.246600	0.006800	0	1
7	1000	24full-20raw	-0.002800	-0.005800	0.000200	0.004000	0.006800	0	0
7	1000	4sensor-20raw	0.280200	0.254400	0.314000	0.287000	0.006800	0	1
7	10000	24full-20raw	-0.002800	-0.005800	0.000400	0.004000	0.006800	0	0
7	10000	4sensor-20raw	0.280200	0.253800	0.312400	0.287000	0.006800	0	1
8	1	24full-20raw	-0.000800	-0.001600	0.000200	0.001800	0.002600	0	0
8	1	4sensor-20raw	0.009200	0.008600	0.009800	0.011800	0.002600	0	1
8	10	24full-20raw	-0.004400	-0.007600	0.000000	0.008200	0.012600	0	0
8	10	4sensor-20raw	0.058600	0.052800	0.067600	0.071200	0.012600	0	1
8	100	24full-20raw	-0.005600	-0.009600	0.000000	0.008200	0.013800	0	0
8	100	4sensor-20raw	0.092200	0.071800	0.115800	0.106000	0.013800	0	1
