controller	method	step	fired	zvf_obs	Gstar	zvf_target	cost_ratio	delta_z	net_benefit
STATIC_G16	aero	32	1	0.7500	16	0.7580	2.0000	-0.0080	-0.5080
STATIC_G16	aero	33	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	aero	34	1	0.8750	16	0.8824	2.0000	-0.0074	-0.5074
STATIC_G16	aero	35	1	0.8125	16	0.8205	2.0000	-0.0080	-0.5080
STATIC_G16	aero	36	1	0.8125	16	0.8211	2.0000	-0.0086	-0.5086
STATIC_G16	aero	37	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	aero	38	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	aero	39	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	gift	0	1	0.7500	16	0.7513	2.0000	-0.0013	-0.5013
STATIC_G16	gift	1	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
STATIC_G16	gift	2	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	gift	3	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
STATIC_G16	gift	4	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	gift	5	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	gift	6	1	0.7500	16	0.7581	2.0000	-0.0081	-0.5081
STATIC_G16	gift	7	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	gift	8	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	gift	9	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	gift	10	1	0.7500	16	0.7721	2.0000	-0.0221	-0.5221
STATIC_G16	gift	11	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	gift	12	1	0.7500	16	0.7587	2.0000	-0.0087	-0.5087
STATIC_G16	gift	13	0	0.5625	8	0.5625	1.0000	0.0000	0.0000
STATIC_G16	gift	14	1	0.8125	16	0.8199	2.0000	-0.0074	-0.5074
STATIC_G16	gift	15	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	gift	16	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	gift	17	1	0.7500	16	0.7500	2.0000	-0.0000	-0.5000
STATIC_G16	gift	18	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	gift	19	1	0.7500	16	0.7654	2.0000	-0.0154	-0.5154
STATIC_G16	gift	20	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	gift	21	1	0.7500	16	0.7581	2.0000	-0.0081	-0.5081
STATIC_G16	gift	22	1	0.8750	16	0.8824	2.0000	-0.0074	-0.5074
STATIC_G16	gift	23	1	0.8750	16	0.8824	2.0000	-0.0074	-0.5074
STATIC_G16	gift	24	1	0.8750	16	0.8898	2.0000	-0.0148	-0.5148
STATIC_G16	gift	25	1	0.7500	16	0.7513	2.0000	-0.0013	-0.5013
STATIC_G16	gift	26	1	0.8125	16	0.8273	2.0000	-0.0148	-0.5148
STATIC_G16	gift	27	1	0.9375	16	0.9381	2.0000	-0.0006	-0.5006
STATIC_G16	gift	28	1	0.8750	16	0.8830	2.0000	-0.0080	-0.5080
STATIC_G16	gift	29	1	0.9375	16	0.9375	2.0000	-0.0000	-0.5000
STATIC_G16	gift	30	1	0.8750	16	0.8756	2.0000	-0.0006	-0.5006
STATIC_G16	gift	31	1	0.9375	16	0.9449	2.0000	-0.0074	-0.5074
STATIC_G16	gift	32	1	0.7500	16	0.7648	2.0000	-0.0148	-0.5148
STATIC_G16	gift	33	1	0.9375	16	0.9449	2.0000	-0.0074	-0.5074
STATIC_G16	gift	34	1	1.0000	16	1.0000	2.0000	0.0000	-0.5000
STATIC_G16	gift	35	1	0.9375	16	0.9449	2.0000	-0.0074	-0.5074
STATIC_G16	gift	36	1	0.9375	16	0.9375	2.0000	-0.0000	-0.5000
STATIC_G16	gift	37	1	0.8750	16	0.8824	2.0000	-0.0074	-0.5074
STATIC_G16	gift	38	1	0.9375	16	0.9375	2.0000	-0.0000	-0.5000
STATIC_G16	gift	39	1	0.8125	16	0.8132	2.0000	-0.0007	-0.5007
STATIC_G16	areal	0	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	areal	1	0	0.5000	8	0.5000	1.0000	0.0000	0.0000
STATIC_G16	areal	2	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	areal	3	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	areal	4	0	0.5000	8	0.5000	1.0000	0.0000	0.0000
STATIC_G16	areal	5	1	0.7500	16	0.7648	2.0000	-0.0148	-0.5148
STATIC_G16	areal	6	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	areal	7	1	0.8750	16	0.8898	2.0000	-0.0148	-0.5148
STATIC_G16	areal	8	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
STATIC_G16	areal	9	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
STATIC_G16	areal	10	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
