rate_pct	fset	tau_cheap	tau_small_open	tau_iter120	tau_mid	tau_frontier	monotone_increasing
1.44	20raw	0.49000000000000005	0.49000000000000005	0.49000000000000005	0.49000000000000005	0.49000000000000005	1
1.44	20raw+minmax	0.534	0.534	0.534	0.534	0.534	1
1.44	20raw+stat	0.529	0.529	0.529	0.529	0.529	1
1.44	24full	0.541	0.541	0.541	0.541	0.541	1
1.0	20raw	0.508	0.508	0.508	0.508	0.508	1
1.0	20raw+minmax	0.5389999999999999	0.5389999999999999	0.5389999999999999	0.5389999999999999	0.5389999999999999	1
1.0	20raw+stat	0.54	0.54	0.54	0.54	0.54	1
1.0	24full	0.541	0.541	0.541	0.541	0.541	1
0.5	20raw	0.5549999999999999	0.5549999999999999	0.5549999999999999	0.5549999999999999	0.5549999999999999	1
0.5	20raw+minmax	0.5619999999999999	0.5619999999999999	0.5619999999999999	0.5619999999999999	0.5619999999999999	1
0.5	20raw+stat	0.545	0.545	0.545	0.545	0.545	1
0.5	24full	0.605	0.605	0.605	0.605	0.605	1
0.1	20raw	0.7030000000000001	0.7030000000000001	0.7030000000000001	0.7030000000000001	0.7030000000000001	1
0.1	20raw+minmax	0.672	0.672	0.672	0.672	0.672	1
0.1	20raw+stat	0.689	0.689	0.689	0.689	0.689	1
0.1	24full	0.7100000000000001	0.7100000000000001	0.7100000000000001	0.7100000000000001	0.7100000000000001	1
0.05	20raw	0.71	0.71	0.71	0.71	0.71	1
0.05	20raw+minmax	0.722	0.722	0.722	0.722	0.722	1
0.05	20raw+stat	0.692	0.692	0.692	0.692	0.692	1
0.05	24full	0.697	0.697	0.697	0.697	0.697	1
