seed	tau	n_steps	n_fires	rate	ci_lo	ci_hi
42	0.5	15	10	0.6667	0.4000	0.8667
42	0.55	15	6	0.4000	0.1333	0.6667
42	0.6	15	6	0.4000	0.1333	0.6667
42	0.65	15	2	0.1333	0.0000	0.3333
42	0.7	15	2	0.1333	0.0000	0.3333
42	0.75	15	2	0.1333	0.0000	0.3333
42	0.8	15	0	0.0000	0.0000	0.0000
42	0.85	15	0	0.0000	0.0000	0.0000
179	0.5	15	14	0.9333	0.8000	1.0000
179	0.55	15	10	0.6667	0.4667	0.8667
179	0.6	15	10	0.6667	0.4000	0.8667
179	0.65	15	4	0.2667	0.0667	0.5333
179	0.7	15	4	0.2667	0.0667	0.4667
179	0.75	15	4	0.2667	0.0667	0.5333
179	0.8	15	0	0.0000	0.0000	0.0000
179	0.85	15	0	0.0000	0.0000	0.0000
316	0.5	15	13	0.8667	0.6667	1.0000
316	0.55	15	9	0.6000	0.3333	0.8667
316	0.6	15	9	0.6000	0.3333	0.8667
316	0.65	15	4	0.2667	0.0667	0.5333
316	0.7	15	4	0.2667	0.0667	0.5333
316	0.75	15	4	0.2667	0.0667	0.5333
316	0.8	15	0	0.0000	0.0000	0.0000
316	0.85	15	0	0.0000	0.0000	0.0000
453	0.5	15	14	0.9333	0.8000	1.0000
453	0.55	15	10	0.6667	0.4000	0.8667
453	0.6	15	10	0.6667	0.4000	0.8667
453	0.65	15	6	0.4000	0.1333	0.6667
453	0.7	15	6	0.4000	0.1333	0.6667
453	0.75	15	6	0.4000	0.1333	0.6667
453	0.8	15	1	0.0667	0.0000	0.2000
453	0.85	15	1	0.0667	0.0000	0.2000
590	0.5	15	12	0.8000	0.6000	1.0000
590	0.55	15	10	0.6667	0.4000	0.8667
590	0.6	15	10	0.6667	0.4000	0.8667
590	0.65	15	5	0.3333	0.0667	0.6000
590	0.7	15	5	0.3333	0.1333	0.6000
590	0.75	15	5	0.3333	0.1333	0.6000
590	0.8	15	2	0.1333	0.0000	0.3333
590	0.85	15	2	0.1333	0.0000	0.3333
