method	metric	n	point	lo	hi	ci_hw
grpo	zvf	2000	0.7203	0.6875	0.7531	0.0328
grpo	reward_mean	2000	0.8342	0.8111	0.8562	0.0226
grpo	pcd	2000	0.0477	0.0414	0.054	0.0063
grpo	mean_len	2000	351.6457	341.6604	361.157	9.7483
grpo	loss	2000	347.3155	280.859	415.5299	67.3354
aero	zvf	2000	0.7203	0.6891	0.7516	0.0312
aero	reward_mean	2000	0.8275	0.8037	0.8512	0.0237
aero	pcd	2000	0.0497	0.0433	0.0563	0.0065
aero	mean_len	2000	365.8088	358.466	373.1223	7.3281
aero	loss	2000	301.1095	241.1333	358.7738	58.8202
gift	zvf	2000	0.7703	0.7328	0.8094	0.0383
gift	reward_mean	2000	0.8447	0.8203	0.8682	0.0239
gift	pcd	2000	0.0399	0.0331	0.0465	0.0067
gift	mean_len	2000	350.9037	340.708	360.3572	9.8246
gift	loss	2000	-17527.6982	-18071.158	-16993.265	538.9465
areal	zvf	2000	0.7063	0.6734	0.7422	0.0344
areal	reward_mean	2000	0.8287	0.8057	0.8516	0.0229
areal	pcd	2000	0.05	0.0437	0.0566	0.0064
areal	mean_len	2000	366.2506	358.8705	373.4666	7.298
areal	loss	2000	341.0149	270.826	406.0877	67.6309
