method_a	method_b	delta_mean	delta_lo	delta_hi	sig
aero	areal	0.098130	-0.000370	0.198239	0
aero	cppo	0.003440	-0.089205	0.099375	0
aero	es	0.124941	0.032738	0.214825	1
aero	gift	0.115550	0.022743	0.206082	1
aero	grpo	-0.147637	-0.282187	-0.009601	1
aero	mcgrpo	0.026639	-0.079204	0.132824	0
aero	ngrpo	-0.016612	-0.115315	0.086812	0
aero	scafgrpo	0.204723	0.108644	0.300486	1
areal	cppo	-0.094690	-0.134310	-0.054646	1
areal	es	0.026811	-0.011664	0.066949	0
areal	gift	0.017420	-0.022293	0.058366	0
areal	grpo	-0.245767	-0.357936	-0.139832	1
areal	mcgrpo	-0.071491	-0.133799	-0.006118	1
areal	ngrpo	-0.114742	-0.167518	-0.061294	1
areal	scafgrpo	0.106593	0.065503	0.148677	1
cppo	es	0.121501	0.109094	0.134221	1
cppo	gift	0.112110	0.098263	0.126469	1
cppo	grpo	-0.151077	-0.249727	-0.048481	1
cppo	mcgrpo	0.023199	-0.030616	0.077359	0
cppo	ngrpo	-0.020052	-0.059496	0.018244	0
cppo	scafgrpo	0.201283	0.182368	0.221250	1
es	gift	-0.009391	-0.021552	0.002469	0
es	grpo	-0.272578	-0.374555	-0.170301	1
es	mcgrpo	-0.098301	-0.151248	-0.045445	1
es	ngrpo	-0.141553	-0.178519	-0.103807	1
es	scafgrpo	0.079783	0.061145	0.097797	1
gift	grpo	-0.263187	-0.367428	-0.161086	1
gift	mcgrpo	-0.088911	-0.141638	-0.036578	1
gift	ngrpo	-0.132162	-0.168769	-0.094431	1
gift	scafgrpo	0.089173	0.069466	0.108028	1
grpo	mcgrpo	0.174277	0.060342	0.285659	1
grpo	ngrpo	0.131025	0.026356	0.240426	1
grpo	scafgrpo	0.352361	0.253125	0.453939	1
mcgrpo	ngrpo	-0.043252	-0.107394	0.022554	0
mcgrpo	scafgrpo	0.178084	0.123571	0.233797	1
ngrpo	scafgrpo	0.221336	0.180029	0.262153	1
