seed	rate_pct	tier	cost_llm	fset	n_test	n_pos	n_llm_grad	caught_xgb	k_top	cpd_xgb	cpd_grad	cppr_xgb	cppr_grad	acd
20260706	1.44	cheap_heuristic	0.0001	24full	10000	144	101	134	200	0.0001	0.0001	0.007462686567164179	0.007462686567164179	1.0
20260706	1.44	cheap_heuristic	0.0001	20raw	10000	144	91	135	200	0.0001	0.0001	0.007407407407407408	0.007407407407407408	1.0
20260706	1.44	cheap_heuristic	0.0001	20raw+minmax	10000	144	100	134	200	0.0001	0.0001	0.007462686567164179	0.007462686567164179	1.0
20260706	1.44	cheap_heuristic	0.0001	20raw+stat	10000	144	107	135	200	0.0001	0.0001	0.007407407407407408	0.007407407407407408	1.0
20260706	1.44	small_open	0.0006	24full	10000	144	101	134	200	0.0001	0.00010505	0.007462686567164179	0.00783955223880597	1.0505
20260706	1.44	small_open	0.0006	20raw	10000	144	91	135	200	0.0001	0.00010455000000000001	0.007407407407407408	0.007744444444444445	1.0455
20260706	1.44	small_open	0.0006	20raw+minmax	10000	144	100	134	200	0.0001	0.000105	0.007462686567164179	0.00783582089552239	1.05
20260706	1.44	small_open	0.0006	20raw+stat	10000	144	107	135	200	0.0001	0.00010535000000000001	0.007407407407407408	0.007803703703703704	1.0535
20260706	1.44	iter120_default	0.001	24full	10000	144	101	134	200	0.0001	0.00010909	0.007462686567164179	0.008141044776119403	1.0909
20260706	1.44	iter120_default	0.001	20raw	10000	144	91	135	200	0.0001	0.00010819	0.007407407407407408	0.008014074074074075	1.0819
20260706	1.44	iter120_default	0.001	20raw+minmax	10000	144	100	134	200	0.0001	0.000109	0.007462686567164179	0.008134328358208955	1.09
20260706	1.44	iter120_default	0.001	20raw+stat	10000	144	107	135	200	0.0001	0.00010963	0.007407407407407408	0.008120740740740741	1.0963
20260706	1.44	mid_tier	0.005	24full	10000	144	101	134	200	0.0001	0.00014948999999999998	0.007462686567164179	0.01115597014925373	1.4948999999999997
20260706	1.44	mid_tier	0.005	20raw	10000	144	91	135	200	0.0001	0.00014459	0.007407407407407408	0.01071037037037037	1.4459
20260706	1.44	mid_tier	0.005	20raw+minmax	10000	144	100	134	200	0.0001	0.000149	0.007462686567164179	0.011119402985074626	1.4899999999999998
20260706	1.44	mid_tier	0.005	20raw+stat	10000	144	107	135	200	0.0001	0.00015243	0.007407407407407408	0.011291111111111111	1.5243
20260706	1.44	frontier_gpt4	0.03	24full	10000	144	101	134	200	0.0001	0.00040198999999999996	0.007462686567164179	0.02999925373134328	4.0199
20260706	1.44	frontier_gpt4	0.03	20raw	10000	144	91	135	200	0.0001	0.00037209	0.007407407407407408	0.02756222222222222	3.7209
20260706	1.44	frontier_gpt4	0.03	20raw+minmax	10000	144	100	134	200	0.0001	0.000399	0.007462686567164179	0.029776119402985073	3.9899999999999998
20260706	1.44	frontier_gpt4	0.03	20raw+stat	10000	144	107	135	200	0.0001	0.00041993	0.007407407407407408	0.031105925925925926	4.1993
20260706	1.0	cheap_heuristic	0.0001	24full	9956	100	86	97	199	0.0001	0.0001	0.010263917525773197	0.010263917525773197	1.0
20260706	1.0	cheap_heuristic	0.0001	20raw	9956	100	82	97	199	0.0001	0.0001	0.010263917525773197	0.010263917525773197	1.0
20260706	1.0	cheap_heuristic	0.0001	20raw+minmax	9956	100	82	97	199	0.0001	0.0001	0.010263917525773197	0.010263917525773197	1.0
20260706	1.0	cheap_heuristic	0.0001	20raw+stat	9956	100	89	96	199	0.0001	0.0001	0.010370833333333334	0.010370833333333334	1.0
20260706	1.0	small_open	0.0006	24full	9956	100	86	97	199	0.0001	0.00010431900361591	0.010263917525773197	0.010707216494845361	1.0431900361591
20260706	1.0	small_open	0.0006	20raw	9956	100	82	97	199	0.0001	0.0001041181197267979	0.010263917525773197	0.01068659793814433	1.041181197267979
20260706	1.0	small_open	0.0006	20raw+minmax	9956	100	82	97	199	0.0001	0.0001041181197267979	0.010263917525773197	0.01068659793814433	1.041181197267979
20260706	1.0	small_open	0.0006	20raw+stat	9956	100	89	96	199	0.0001	0.00010446966653274407	0.010370833333333334	0.010834375	1.0446966653274405
20260706	1.0	iter120_default	0.001	24full	9956	100	86	97	199	0.0001	0.000107774206508638	0.010263917525773197	0.011061855670103092	1.07774206508638
20260706	1.0	iter120_default	0.001	20raw	9956	100	82	97	199	0.0001	0.00010741261550823625	0.010263917525773197	0.011024742268041239	1.0741261550823624
20260706	1.0	iter120_default	0.001	20raw+minmax	9956	100	82	97	199	0.0001	0.00010741261550823625	0.010263917525773197	0.011024742268041239	1.0741261550823624
20260706	1.0	iter120_default	0.001	20raw+stat	9956	100	89	96	199	0.0001	0.00010804539975893934	0.010370833333333334	0.011205208333333334	1.0804539975893934
20260706	1.0	mid_tier	0.005	24full	9956	100	86	97	199	0.0001	0.00014232623543591804	0.010263917525773197	0.014608247422680413	1.4232623543591802
20260706	1.0	mid_tier	0.005	20raw	9956	100	82	97	199	0.0001	0.00014035757332261952	0.010263917525773197	0.014406185567010309	1.403575733226195
20260706	1.0	mid_tier	0.005	20raw+minmax	9956	100	82	97	199	0.0001	0.00014035757332261952	0.010263917525773197	0.014406185567010309	1.403575733226195
20260706	1.0	mid_tier	0.005	20raw+stat	9956	100	89	96	199	0.0001	0.00014380273202089193	0.010370833333333334	0.014913541666666667	1.4380273202089193
20260706	1.0	frontier_gpt4	0.03	24full	9956	100	86	97	199	0.0001	0.00035827641623141824	0.010263917525773197	0.03677319587628866	3.582764162314182
20260706	1.0	frontier_gpt4	0.03	20raw	9956	100	82	97	199	0.0001	0.0003462635596625151	0.010263917525773197	0.03554020618556702	3.4626355966251507
20260706	1.0	frontier_gpt4	0.03	20raw+minmax	9956	100	82	97	199	0.0001	0.0003462635596625151	0.010263917525773197	0.03554020618556702	3.4626355966251507
20260706	1.0	frontier_gpt4	0.03	20raw+stat	9956	100	89	96	199	0.0001	0.0003672860586580956	0.010370833333333334	0.038090624999999996	3.672860586580956
20260706	0.5	cheap_heuristic	0.0001	24full	9906	50	88	50	198	0.0001	0.0001	0.019812	0.019812	1.0
20260706	0.5	cheap_heuristic	0.0001	20raw	9906	50	82	50	198	0.0001	0.0001	0.019812	0.019812	1.0
20260706	0.5	cheap_heuristic	0.0001	20raw+minmax	9906	50	72	50	198	0.0001	0.0001	0.019812	0.019812	1.0
20260706	0.5	cheap_heuristic	0.0001	20raw+stat	9906	50	89	50	198	0.0001	0.0001	0.019812	0.019812	1.0
20260706	0.5	small_open	0.0006	24full	9906	50	88	50	198	0.0001	0.00010444175247324853	0.019812	0.020692	1.0444175247324852
20260706	0.5	small_open	0.0006	20raw	9906	50	82	50	198	0.0001	0.00010413890571370886	0.019812	0.020632	1.0413890571370885
20260706	0.5	small_open	0.0006	20raw+minmax	9906	50	72	50	198	0.0001	0.00010363416111447607	0.019812	0.020531999999999998	1.0363416111447605
20260706	0.5	small_open	0.0006	20raw+stat	9906	50	89	50	198	0.0001	0.00010449222693317183	0.019812	0.020702	1.0449222693317182
20260706	0.5	iter120_default	0.001	24full	9906	50	88	50	198	0.0001	0.00010799515445184737	0.019812	0.021396000000000002	1.0799515445184737
20260706	0.5	iter120_default	0.001	20raw	9906	50	82	50	198	0.0001	0.00010745003028467595	0.019812	0.021288	1.0745003028467595
20260706	0.5	iter120_default	0.001	20raw+minmax	9906	50	72	50	198	0.0001	0.00010654149000605695	0.019812	0.021108000000000002	1.0654149000605695
20260706	0.5	iter120_default	0.001	20raw+stat	9906	50	89	50	198	0.0001	0.00010808600847970927	0.019812	0.021414	1.0808600847970926
20260706	0.5	mid_tier	0.005	24full	9906	50	88	50	198	0.0001	0.00014352917423783565	0.019812	0.028436	1.4352917423783564
20260706	0.5	mid_tier	0.005	20raw	9906	50	82	50	198	0.0001	0.00014056127599434688	0.019812	0.027848000000000005	1.4056127599434687
