cost_llm	cost_ratio	rate	tree	rule	n_test_eff	n_llm_calls	n_pos_caught_at_K	cpd_usd	cpf_usd
0.003	30.0	0.01	XGB-24full	xgb_only	10000	0	99	0.0001	0.010101010101010102
0.003	30.0	0.01	XGB-24full	gradient_band	10000	16	99	0.00010464	0.01056969696969697
0.003	30.0	0.01	XGB-24full	absolute_band	10000	12	99	0.00010347999999999999	0.010452525252525251
0.003	30.0	0.01	XGB-4sensor	xgb_only	10000	0	56	0.0001	0.017857142857142856
0.003	30.0	0.01	XGB-4sensor	gradient_band	10000	42	56	0.00011217999999999999	0.020032142857142856
0.003	30.0	0.01	XGB-4sensor	absolute_band	10000	0	56	0.0001	0.017857142857142856
0.003	30.0	0.005	XGB-20raw	xgb_only	10000	0	50	0.0001	0.02
0.003	30.0	0.005	XGB-20raw	gradient_band	10000	33	50	0.00010957	0.021914
0.003	30.0	0.005	XGB-20raw	absolute_band	10000	7	50	0.00010203	0.020406
0.003	30.0	0.005	XGB-24full	xgb_only	10000	0	50	0.0001	0.02
0.003	30.0	0.005	XGB-24full	gradient_band	10000	40	50	0.00011160000000000002	0.022320000000000003
0.003	30.0	0.005	XGB-24full	absolute_band	10000	6	50	0.00010174000000000001	0.020348
0.003	30.0	0.005	XGB-4sensor	xgb_only	10000	0	31	0.0001	0.03225806451612903
0.003	30.0	0.005	XGB-4sensor	gradient_band	10000	49	31	0.00011421	0.03684193548387097
0.003	30.0	0.005	XGB-4sensor	absolute_band	10000	0	31	0.0001	0.03225806451612903
0.003	30.0	0.001	XGB-20raw	xgb_only	10000	0	10	0.0001	0.1
0.003	30.0	0.001	XGB-20raw	gradient_band	10000	48	10	0.00011392	0.11392
0.003	30.0	0.001	XGB-20raw	absolute_band	10000	0	10	0.0001	0.1
0.003	30.0	0.001	XGB-24full	xgb_only	10000	0	10	0.0001	0.1
0.003	30.0	0.001	XGB-24full	gradient_band	10000	53	10	0.00011536999999999999	0.11537
0.003	30.0	0.001	XGB-24full	absolute_band	10000	0	10	0.0001	0.1
0.003	30.0	0.001	XGB-4sensor	xgb_only	10000	0	6	0.0001	0.16666666666666666
0.003	30.0	0.001	XGB-4sensor	gradient_band	10000	57	6	0.00011653	0.19421666666666668
0.003	30.0	0.001	XGB-4sensor	absolute_band	10000	0	6	0.0001	0.16666666666666666
0.003	30.0	0.0005	XGB-20raw	xgb_only	10000	0	5	0.0001	0.2
0.003	30.0	0.0005	XGB-20raw	gradient_band	10000	51	5	0.00011478999999999999	0.22957999999999998
0.003	30.0	0.0005	XGB-20raw	absolute_band	10000	0	5	0.0001	0.2
0.003	30.0	0.0005	XGB-24full	xgb_only	10000	0	5	0.0001	0.2
0.003	30.0	0.0005	XGB-24full	gradient_band	10000	57	5	0.00011653	0.23306
0.003	30.0	0.0005	XGB-24full	absolute_band	10000	0	5	0.0001	0.2
0.003	30.0	0.0005	XGB-4sensor	xgb_only	10000	0	2	0.0001	0.5
0.003	30.0	0.0005	XGB-4sensor	gradient_band	10000	59	2	0.00011711000000000001	0.58555
