method_a	method_b	r_savings_tau_point	r_savings_tau_ci_lo	r_savings_tau_ci_hi	ci_excludes_zero	n_boot
grpo	aero	0.9914780061123991	0.9577517946676657	0.9954603882645714	1	4000
grpo	gift	0.9851557175543931	0.9439215785685539	0.9920314084569809	1	4000
grpo	areal	0.9948331499189274	0.9551411654553438	0.9976933178673281	1	4000
aero	gift	0.9898012579439692	0.9404054769764035	0.9943171145860452	1	4000
aero	areal	0.9894568337745562	0.943704076839047	0.9945549456787168	1	4000
gift	areal	0.9832558978668959	0.9353614433574764	0.9908384311225994	1	4000
