method	step	zvf_step	pcd_step	n_prompts_in_step	n_degen	n_bd	n_md	mean_restore_in_step	restore_sum_in_step	fired
grpo	0	0.6875	0.0391	16	11	4	1	0.7202	11.5234	1
grpo	1	0.5000	0.0908	16	8	3	5	0.7920	12.6725	1
grpo	2	0.6875	0.0527	16	11	2	3	0.7326	11.7220	1
grpo	3	0.7500	0.0371	16	12	2	2	0.7104	11.3668	1
grpo	4	0.6875	0.0576	16	11	1	4	0.7378	11.8055	1
grpo	5	0.6875	0.0566	16	11	2	3	0.7346	11.7539	1
grpo	6	0.8125	0.0332	16	13	1	2	0.6971	11.1530	1
grpo	7	0.6875	0.0479	16	11	3	2	0.7274	11.6386	1
grpo	8	0.5625	0.0732	16	9	3	4	0.7691	12.3059	1
grpo	9	0.6875	0.0518	16	11	2	3	0.7323	11.7163	1
grpo	10	0.6875	0.0518	16	11	2	3	0.7323	11.7163	1
grpo	11	0.6875	0.0566	16	11	2	3	0.7346	11.7539	1
grpo	12	0.8125	0.0381	16	13	0	3	0.7023	11.2364	1
grpo	13	0.5625	0.0693	16	9	4	3	0.7643	12.2282	1
grpo	14	0.7500	0.0410	16	12	2	2	0.7124	11.3986	1
grpo	15	0.7500	0.0518	16	12	1	3	0.7209	11.5344	1
grpo	16	0.6250	0.0742	16	10	1	5	0.7610	12.1755	1
grpo	17	0.5000	0.0859	16	8	3	5	0.7897	12.6350	1
grpo	18	0.5625	0.0947	16	9	0	7	0.7884	12.6142	1
grpo	19	0.6250	0.0566	16	10	4	2	0.7437	11.8991	1
grpo	20	0.6250	0.0723	16	10	1	5	0.7597	12.1550	1
grpo	21	0.7500	0.0430	16	12	2	2	0.7137	11.4191	1
grpo	22	0.7500	0.0479	16	12	1	3	0.7189	11.5025	1
grpo	23	0.8750	0.0186	16	14	1	1	0.6752	10.8034	1
grpo	24	0.8125	0.0205	16	13	3	0	0.6850	10.9600	1
grpo	25	0.5625	0.0771	16	9	3	4	0.7711	12.3378	1
grpo	26	0.8125	0.0254	16	13	2	1	0.6902	11.0434	1
grpo	27	0.9375	0.0156	16	15	0	1	0.6622	10.5952	1
grpo	28	0.8125	0.0283	16	13	2	1	0.6918	11.0695	1
grpo	29	0.8125	0.0293	16	13	2	1	0.6922	11.0752	1
grpo	30	0.8125	0.0254	16	13	2	1	0.6902	11.0434	1
grpo	31	0.7500	0.0322	16	12	3	1	0.7052	11.2834	1
grpo	32	0.6875	0.0605	16	11	1	4	0.7395	11.8316	1
grpo	33	0.6875	0.0469	16	11	3	2	0.7271	11.6329	1
grpo	34	0.8750	0.0186	16	14	1	1	0.6752	10.8034	1
grpo	35	0.9375	0.0117	16	15	0	1	0.6602	10.5634	1
grpo	36	0.8125	0.0283	16	13	2	1	0.6918	11.0695	1
grpo	37	0.7500	0.0459	16	12	1	3	0.7176	11.4820	1
grpo	38	0.6875	0.0518	16	11	2	3	0.7323	11.7163	1
grpo	39	0.7500	0.0479	16	12	1	3	0.7189	11.5025	1
aero	0	0.6875	0.0420	16	11	4	1	0.7218	11.5495	1
aero	1	0.6875	0.0713	16	11	0	5	0.7480	11.9674	1
aero	2	0.8125	0.0205	16	13	3	0	0.6850	10.9600	1
aero	3	0.6875	0.0596	16	11	1	4	0.7391	11.8259	1
aero	4	0.7500	0.0586	16	12	0	4	0.7268	11.6292	1
aero	5	0.5625	0.0703	16	9	3	4	0.7675	12.2797	1
aero	6	0.7500	0.0498	16	12	0	4	0.7225	11.5598	1
aero	7	0.6250	0.0654	16	10	3	3	0.7509	12.0144	1
aero	8	0.6875	0.0723	16	11	0	5	0.7483	11.9730	1
aero	9	0.6250	0.0664	16	10	2	4	0.7541	12.0659	1
aero	10	0.7500	0.0420	16	12	1	3	0.7156	11.4502	1
aero	11	0.5625	0.0850	16	9	1	6	0.7803	12.4841	1
aero	12	0.6875	0.0596	16	11	1	4	0.7391	11.8259	1
aero	13	0.5625	0.1006	16	9	0	7	0.7911	12.6574	1
aero	14	0.7500	0.0449	16	12	2	2	0.7144	11.4305	1
aero	15	0.8125	0.0361	16	13	1	2	0.6987	11.1791	1
aero	16	0.5625	0.0840	16	9	2	5	0.7770	12.4326	1
aero	17	0.5625	0.0859	16	9	2	5	0.7783	12.4530	1
aero	18	0.6250	0.0684	16	10	2	4	0.7548	12.0773	1
aero	19	0.6250	0.0723	16	10	1	5	0.7597	12.1550	1
aero	20	0.6250	0.0664	16	10	3	3	0.7513	12.0200	1
aero	21	0.8125	0.0293	16	13	2	1	0.6922	11.0752	1
aero	22	0.6875	0.0420	16	11	4	1	0.7218	11.5495	1
aero	23	0.8125	0.0303	16	13	1	2	0.6954	11.1268	1
aero	24	0.8125	0.0205	16	13	3	0	0.6850	10.9600	1
aero	25	0.6875	0.0518	16	11	2	3	0.7323	11.7163	1
aero	26	0.8750	0.0264	16	14	0	2	0.6821	10.9130	1
aero	27	0.9375	0.0146	16	15	0	1	0.6618	10.5896	1
aero	28	0.8125	0.0293	16	13	2	1	0.6922	11.0752	1
aero	29	0.8750	0.0234	16	14	0	2	0.6804	10.8868	1
aero	30	0.8125	0.0254	16	13	2	1	0.6902	11.0434	1
aero	31	0.8125	0.0254	16	13	2	1	0.6902	11.0434	1
aero	32	0.7500	0.0488	16	12	1	3	0.7193	11.5082	1
aero	33	0.6250	0.0615	16	10	3	3	0.7489	11.9825	1
aero	34	0.8750	0.0215	16	14	1	1	0.6768	10.8296	1
aero	35	0.8125	0.0342	16	13	1	2	0.6974	11.1586	1
aero	36	0.8125	0.0303	16	13	1	2	0.6954	11.1268	1
aero	37	0.6875	0.0508	16	11	3	2	0.7290	11.6648	1
aero	38	0.6875	0.0518	16	11	3	2	0.7294	11.6705	1
aero	39	0.6250	0.0488	16	10	5	1	0.7368	11.7895	1
gift	0	0.7500	0.0537	16	12	0	4	0.7245	11.5916	1
gift	1	0.5625	0.0752	16	9	3	4	0.7698	12.3173	1
gift	2	0.6875	0.0342	16	11	5	0	0.7150	11.4400	1
gift	3	0.5625	0.0674	16	9	3	4	0.7658	12.2536	1
gift	4	0.6875	0.0518	16	11	2	3	0.7323	11.7163	1
gift	5	0.6250	0.0488	16	10	5	1	0.7368	11.7895	1
gift	6	0.7500	0.0479	16	12	1	3	0.7189	11.5025	1
gift	7	0.6875	0.0439	16	11	3	2	0.7254	11.6068	1
gift	8	0.6250	0.0674	16	10	2	4	0.7545	12.0716	1
gift	9	0.6250	0.0537	16	10	4	2	0.7421	11.8729	1
gift	10	0.7500	0.0361	16	12	3	1	0.7072	11.3152	1
gift	11	0.6250	0.0693	16	10	1	5	0.7581	12.1289	1
gift	12	0.7500	0.0449	16	12	1	3	0.7173	11.4764	1
gift	13	0.5625	0.0908	16	9	1	6	0.7835	12.5364	1
gift	14	0.8125	0.0371	16	13	1	2	0.6991	11.1848	1
gift	15	0.6250	0.0625	16	10	3	3	0.7493	11.9882	1
gift	16	0.6250	0.0635	16	10	2	4	0.7525	12.0398	1
gift	17	0.7500	0.0625	16	12	0	4	0.7288	11.6610	1
gift	18	0.6250	0.0703	16	10	2	4	0.7561	12.0978	1
gift	19	0.7500	0.0410	16	12	2	2	0.7124	11.3986	1
gift	20	0.6875	0.0566	16	11	2	3	0.7346	11.7539	1
gift	21	0.7500	0.0479	16	12	1	3	0.7189	11.5025	1
gift	22	0.8750	0.0215	16	14	1	1	0.6768	10.8296	1
gift	23	0.8750	0.0215	16	14	1	1	0.6768	10.8296	1
gift	24	0.8750	0.0137	16	14	2	0	0.6700	10.7200	1
gift	25	0.7500	0.0537	16	12	0	4	0.7245	11.5916	1
gift	26	0.8125	0.0283	16	13	2	1	0.6918	11.0695	1
gift	27	0.9375	0.0117	16	15	0	1	0.6602	10.5634	1
gift	28	0.8750	0.0186	16	14	1	1	0.6752	10.8034	1
gift	29	0.9375	0.0146	16	15	0	1	0.6618	10.5896	1
gift	30	0.8750	0.0273	16	14	0	2	0.6824	10.9187	1
gift	31	0.9375	0.0068	16	15	1	0	0.6550	10.4800	1
gift	32	0.7500	0.0430	16	12	2	2	0.7137	11.4191	1
gift	33	0.9375	0.0068	16	15	1	0	0.6550	10.4800	1
gift	34	1.0000	0.0000	16	16	0	0	0.6400	10.2400	1
gift	35	0.9375	0.0068	16	15	1	0	0.6550	10.4800	1
gift	36	0.9375	0.0156	16	15	0	1	0.6622	10.5952	1
gift	37	0.8750	0.0215	16	14	1	1	0.6768	10.8296	1
gift	38	0.9375	0.0146	16	15	0	1	0.6618	10.5896	1
gift	39	0.8125	0.0420	16	13	0	3	0.7043	11.2682	1
areal	0	0.6875	0.0547	16	11	2	3	0.7339	11.7425	1
areal	1	0.5000	0.0908	16	8	3	5	0.7920	12.6725	1
areal	2	0.6875	0.0430	16	11	4	1	0.7222	11.5552	1
areal	3	0.6875	0.0596	16	11	1	4	0.7391	11.8259	1
areal	4	0.5000	0.0684	16	8	6	2	0.7724	12.3586	1
areal	5	0.7500	0.0430	16	12	2	2	0.7137	11.4191	1
areal	6	0.6875	0.0498	16	11	3	2	0.7287	11.6591	1
areal	7	0.8750	0.0137	16	14	2	0	0.6700	10.7200	1
areal	8	0.6250	0.0703	16	10	2	4	0.7561	12.0978	1
areal	9	0.6875	0.0625	16	11	1	4	0.7408	11.8521	1
areal	10	0.6875	0.0420	16	11	4	1	0.7218	11.5495	1
areal	11	0.5000	0.0801	16	8	4	4	0.7841	12.5459	1
areal	12	0.8125	0.0439	16	13	0	3	0.7055	11.2887	1
areal	13	0.5625	0.0938	16	9	0	7	0.7880	12.6085	1
areal	14	0.6875	0.0527	16	11	2	3	0.7326	11.7220	1
areal	15	0.6875	0.0420	16	11	4	1	0.7218	11.5495	1
areal	16	0.6250	0.0586	16	10	3	3	0.7473	11.9563	1
areal	17	0.5000	0.0928	16	8	3	5	0.7933	12.6930	1
areal	18	0.5625	0.0771	16	9	3	4	0.7711	12.3378	1
areal	19	0.7500	0.0547	16	12	0	4	0.7248	11.5973	1
areal	20	0.6875	0.0703	16	11	0	5	0.7470	11.9526	1
areal	21	0.6875	0.0430	16	11	4	1	0.7222	11.5552	1
areal	22	0.8125	0.0293	16	13	2	1	0.6922	11.0752	1
areal	23	0.8125	0.0332	16	13	1	2	0.6971	11.1530	1
areal	24	0.8750	0.0186	16	14	1	1	0.6752	10.8034	1
areal	25	0.6250	0.0820	16	10	0	6	0.7678	12.2851	1
areal	26	0.8750	0.0264	16	14	0	2	0.6821	10.9130	1
areal	27	0.9375	0.0117	16	15	0	1	0.6602	10.5634	1
areal	28	0.8750	0.0215	16	14	1	1	0.6768	10.8296	1
areal	29	0.8125	0.0293	16	13	2	1	0.6922	11.0752	1
areal	30	0.7500	0.0400	16	12	2	2	0.7121	11.3929	1
areal	31	0.5625	0.0527	16	9	6	1	0.7502	12.0033	1
areal	32	0.7500	0.0479	16	12	1	3	0.7189	11.5025	1
areal	33	0.6250	0.0625	16	10	3	3	0.7493	11.9882	1
areal	34	0.6875	0.0391	16	11	4	1	0.7202	11.5234	1
