field	n_rows	n_present	n_null	present_frac
metric	38	38	0	1.0
panel	38	38	0	1.0
base	38	38	0	1.0
delta	38	38	0	1.0
ci_low	38	38	0	1.0
ci_high	38	38	0	1.0
n	38	38	0	1.0
significant	38	38	0	1.0
ci_method	38	38	0	1.0
source	38	38	0	1.0
note	38	38	0	1.0
window_sensitivity	38	6	32	0.1579
robust_panel	38	6	32	0.1579
welch_ci_low	38	8	30	0.2105
welch_ci_high	38	8	30	0.2105
welch_sig	38	8	30	0.2105
sig_robust_bootstrap_and_welch	38	8	30	0.2105
sig_robust_note	38	8	30	0.2105
xpanel_verdict	38	0	38	0.0
xpanel_method	38	0	38	0.0
