axis	stratum	n_stratum	noise_sigma	k_pct	delta_median	delta_lo	delta_hi	sig_unfavorable
V_mean_q	0	2000	0.0	1.5	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.0	2.0	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.0	3.0	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.05	1.5	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.05	2.0	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.05	3.0	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.1	1.5	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.1	2.0	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.1	3.0	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.25	1.5	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.25	2.0	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.25	3.0	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.5	1.5	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.5	2.0	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	0	2000	0.5	3.0	-0.003500000000000003	-0.003500000000000003	-0.0034999999999999476	False
V_mean_q	1	2000	0.0	1.5	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.0	2.0	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.0	3.0	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.05	1.5	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.05	2.0	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.05	3.0	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.1	1.5	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.1	2.0	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.1	3.0	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.25	1.5	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
V_mean_q	1	2000	0.25	2.0	-0.0035000000000000586	-0.0035000000000000586	-0.0034999999999998366	False
