model	rate_label	target_rate	n_test	n_pos	pos_rate	pr_auc	top_frac	n_top	p_at_top	r_at_top
XGB-20raw	release	0.0144	10000	144	0.0144	0.8722692925667792	0.01	100	0.9	0.625
XGB-24full	release	0.0144	10000	144	0.0144	0.8899606203536461	0.01	100	0.92	0.6388888888888888
XGB-4sensor	release	0.0144	10000	144	0.0144	0.341342741009523	0.01	100	0.45	0.3125
XGB-20raw	1.00%	0.01	9956	100	0.010044194455604661	0.8295198402752674	0.01	100	0.74	0.74
XGB-24full	1.00%	0.01	9956	100	0.010044194455604661	0.8493922650707076	0.01	100	0.81	0.81
XGB-4sensor	1.00%	0.01	9956	100	0.010044194455604661	0.3142996509801689	0.01	100	0.37	0.37
XGB-20raw	0.50%	0.005	9906	50	0.005047445992327882	0.7463490716408424	0.01	99	0.43434343434343436	0.86
XGB-24full	0.50%	0.005	9906	50	0.005047445992327882	0.7838347085578384	0.01	99	0.45454545454545453	0.9
XGB-4sensor	0.50%	0.005	9906	50	0.005047445992327882	0.19075279099321332	0.01	99	0.18181818181818182	0.36
XGB-20raw	0.10%	0.001	9866	10	0.0010135819987837015	0.3418999138116785	0.01	99	0.08080808080808081	0.8
XGB-24full	0.10%	0.001	9866	10	0.0010135819987837015	0.44015540015540017	0.01	99	0.10101010101010101	1.0
XGB-4sensor	0.10%	0.001	9866	10	0.0010135819987837015	0.20180423677591633	0.01	99	0.06060606060606061	0.6
XGB-20raw	0.05%	0.0005	9861	5	0.0005070479667376534	0.14299982179465684	0.01	99	0.04040404040404041	0.8
XGB-24full	0.05%	0.0005	9861	5	0.0005070479667376534	0.1918207282913165	0.01	99	0.050505050505050504	1.0
XGB-4sensor	0.05%	0.0005	9861	5	0.0005070479667376534	0.03614499760595125	0.01	99	0.020202020202020204	0.4
