metric	n_rows	eta2_point	eta2_boot_lo	eta2_boot_mean	eta2_boot_hi	ub_le_0p05	ub_le_0p10	n_boot
zvf	160	0.0454	0.0145	0.0534	0.1127	0	0	4000
pcd	160	0.0357	0.0153	0.0414	0.0807	0	1	4000
larq	160	0.001	0.0003	0.0042	0.0136	1	1	4000
reward_mean	160	0.0075	0.0019	0.0098	0.0244	1	1	4000
mean_len	160	0.0631	0.0333	0.0685	0.1264	0	0	4000
cv_len	160	0.0457	0.0235	0.05	0.0914	0	1	4000
loss	160	0.9867	0.9828	0.9869	0.9908	0	0	4000
