id	record_type	schema	badge	cov_loss_form	cov_reference_kl	cov_sampler_backend	cov_telemetry	cov_group_size_schedule	cov_heldout_split	cov_decontamination	error
colab-open_dapo_e3	stack	PASS	96	9/9	3/3	3/4	3/3	3/3	2/2	2/2	
colab-open_drgrpo_e3	stack	PASS	96	6/6	3/3	3/4	3/3	3/3	2/2	2/2	
colab-open_grpo-adaptiveg_e3	stack	PASS	96	6/6	3/3	3/4	3/3	3/3	2/2	2/2	
colab-open_grpo_e3	stack	PASS	96	6/6	3/3	3/4	3/3	3/3	2/2	2/2	
delta_adaptiveg	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_aero	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_areal	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_cppo	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_dapo	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_drgrpo	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_es	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_gift	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_gspo	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_liteppo	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_mcgrpo	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_ngrpo	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_ppo	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_reinforce	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
delta_scafgrpo	variant_delta	PASS	100	0/0	0/0	0/0	0/0	0/0	0/0	0/0	
openrlhf_grpo_qwen3-8b_gsm8k	stack	PASS	60	1/6	3/3	4/4	0/3	3/3	2/2	0/2	
tinker_aero_qwen3.5-4b_gsm8k	stack	PASS	67	2/6	1/3	4/4	3/3	3/3	2/2	0/2	
tinker_areal_qwen3.5-4b_gsm8k	stack	PASS	67	2/6	1/3	4/4	3/3	3/3	2/2	0/2	
tinker_dapo_qwen3.5-4b_gsm8k	stack	PASS	65	5/9	1/3	4/4	3/3	2/3	2/2	0/2	
tinker_drgrpo_qwen3.5-4b_gsm8k	stack	PASS	62	2/6	1/3	4/4	3/3	2/3	2/2	0/2	
tinker_gift_qwen3.5-4b_gsm8k	stack	PASS	68	3/7	1/3	4/4	3/3	3/3	2/2	0/2	
tinker_grpo_qwen3-8b_gsm8k	stack	PASS	62	0/6	1/3	4/4	3/3	3/3	2/2	0/2	
tinker_grpo_qwen3.5-4b_gsm8k	stack	PASS	57	0/6	1/3	4/4	3/3	2/3	2/2	0/2	
tinker_gspo_qwen3.5-4b_gsm8k	stack	PASS	61	2/7	1/3	4/4	3/3	2/3	2/2	0/2	
trl_grpo_qwen3-8b_gsm8k	stack	PASS	74	1/6	3/3	4/4	3/3	3/3	2/2	0/2	
verl_grpo_qwen3-8b_gsm8k	stack	PASS	60	1/6	3/3	4/4	0/3	3/3	2/2	0/2	
zvf130_aero	stack	PASS	43	0/6	0/3	4/4	3/3	0/3	2/2	0/2	
zvf130_areal	stack	PASS	43	0/6	0/3	4/4	3/3	0/3	2/2	0/2	
zvf130_cppo	stack	PASS	43	0/6	0/3	4/4	3/3	0/3	2/2	0/2	
zvf130_es	stack	PASS	43	0/6	0/3	4/4	3/3	0/3	2/2	0/2	
zvf130_gift	stack	PASS	43	0/6	0/3	4/4	3/3	0/3	2/2	0/2	
zvf130_grpo	stack	PASS	43	0/6	0/3	4/4	3/3	0/3	2/2	0/2	
zvf130_mcgrpo	stack	PASS	43	0/6	0/3	4/4	3/3	0/3	2/2	0/2	
zvf130_ngrpo	stack	PASS	43	0/6	0/3	4/4	3/3	0/3	2/2	0/2	
zvf130_scafgrpo	stack	PASS	43	0/6	0/3	4/4	3/3	0/3	2/2	0/2	
