acd_thresh	n_actionable	n_total	D10	wilson_lo	wilson_hi	layer_assignment_canonical
1.01	20	100	0.2	0.1334	0.2888	MID
1.1	60	100	0.6	0.502	0.6906	HIGH
1.5	78	100	0.78	0.6893	0.85	HIGH
2.0	80	100	0.8	0.7112	0.8666	HIGH
5.0	100	100	1.0	0.963	1.0	HIGH
