entry_id	framework	openness	label_claimed	item	frac_reported	schema_ok	badge
tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	group_size_schedule	1.0	1	68
tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	heldout_split	1.0	1	68
tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	decontamination	0.0	1	68
tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	loss_form	0.0	1	62
tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	reference_kl	0.333	1	62
tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	sampler_backend	1.0	1	62
tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	telemetry	1.0	1	62
tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	group_size_schedule	1.0	1	62
tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	heldout_split	1.0	1	62
tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	decontamination	0.0	1	62
tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	loss_form	0.0	1	57
tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	reference_kl	0.333	1	57
tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	sampler_backend	1.0	1	57
tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	telemetry	1.0	1	57
tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	group_size_schedule	0.667	1	57
tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	heldout_split	1.0	1	57
tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	decontamination	0.0	1	57
tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	loss_form	0.286	1	61
tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	reference_kl	0.333	1	61
tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	sampler_backend	1.0	1	61
tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	telemetry	1.0	1	61
tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	group_size_schedule	0.667	1	61
tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	heldout_split	1.0	1	61
tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	decontamination	0.0	1	61
trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	loss_form	0.167	1	74
trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	reference_kl	1.0	1	74
trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	sampler_backend	1.0	1	74
trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	telemetry	1.0	1	74
trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	group_size_schedule	1.0	1	74
trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	heldout_split	1.0	1	74
trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	decontamination	0.0	1	74
