field	family	corpus	n_filled	n_unique	entropy_bits	verdict
model	identity	mega	98	2	0.9988	WEAK
task_slice	identity	mega	98	3	1.5546	STRONG
G	identity	mega	98	5	2.3121	STRONG
temperature	identity	mega	98	2	0.9952	WEAK
seed	identity	mega	98	2	1.0000	WEAK
mean_reward	rollout_outcomes	mega	98	48	4.4178	STRONG
zvf	rollout_outcomes	mega	98	20	3.5534	STRONG
pcd	rollout_outcomes	mega	98	56	4.5573	STRONG
n_groups	rollout_outcomes	mega	98	1	0.0000	PLACEBO
sample_errors	rollout_outcomes	mega	98	1	0.0000	PLACEBO
mean_completion_len	rollout_outcomes	mega	98	98	6.6147	STRONG
std_completion_len	rollout_outcomes	mega	98	98	6.6147	STRONG
sampled_tokens	operational	mega	98	98	6.6147	STRONG
model	identity	n10	5	1	0.0000	PLACEBO
task_slice	identity	n10	5	1	0.0000	PLACEBO
G	identity	n10	5	1	0.0000	PLACEBO
temperature	identity	n10	5	1	0.0000	PLACEBO
seed	identity	n10	5	5	2.3219	STRONG
mean_reward	rollout_outcomes	n10	5	5	2.3219	STRONG
zvf	rollout_outcomes	n10	5	4	1.9219	STRONG
pcd	rollout_outcomes	n10	0	0	0.0000	PLACEBO
n_groups	rollout_outcomes	n10	0	0	0.0000	PLACEBO
sample_errors	rollout_outcomes	n10	5	1	0.0000	PLACEBO
mean_completion_len	rollout_outcomes	n10	5	5	2.3219	STRONG
std_completion_len	rollout_outcomes	n10	0	0	0.0000	PLACEBO
sampled_tokens	operational	n10	0	0	0.0000	PLACEBO
model	identity	n2	3	1	0.0000	PLACEBO
task_slice	identity	n2	3	1	0.0000	PLACEBO
G	identity	n2	3	1	0.0000	PLACEBO
temperature	identity	n2	3	1	0.0000	PLACEBO
seed	identity	n2	3	1	0.0000	PLACEBO
mean_reward	rollout_outcomes	n2	3	3	1.5850	STRONG
zvf	rollout_outcomes	n2	3	2	0.9183	WEAK
pcd	rollout_outcomes	n2	3	3	1.5850	STRONG
n_groups	rollout_outcomes	n2	3	1	0.0000	PLACEBO
sample_errors	rollout_outcomes	n2	3	1	0.0000	PLACEBO
mean_completion_len	rollout_outcomes	n2	3	3	1.5850	STRONG
std_completion_len	rollout_outcomes	n2	3	3	1.5850	STRONG
sampled_tokens	operational	n2	3	3	1.5850	STRONG
