variant	metric	panel	point	pct_ci_low	pct_ci_high	bca_ci_low	bca_ci_high	jk_ci_low	jk_ci_high	jk_se	cohens_d	cliffs_delta	n_steps
aero	reward_mean	n2_same_stack_last10	-0.014063	-0.023438	-0.005469	-0.029687	-0.002344	-0.01735	-0.010775	0.001677	-0.9316	-0.11	10
areal	reward_mean	n2_same_stack_last10	-0.019531	-0.032031	-0.007812	-0.041406	0.000781	-0.023942	-0.01512	0.002251	-0.9642	-0.2	10
