field	n_claims_used	pct_claims
zvf	9	40.9
cell_id	8	36.4
manifest_path	6	27.3
method	5	22.7
step	5	22.7
reward_mean	5	22.7
seed	5	22.7
prompt_idx	4	18.2
step_band	4	18.2
tensor_path	3	13.6
stack_axis	2	9.1
algo_axis	2	9.1
pcd	2	9.1
cite_key	2	9.1
model	1	4.5
task_slice	1	4.5
G	1	4.5
temperature	1	4.5
mean_completion_len	1	4.5
loss	1	4.5
