tau	seed	total_G	baseline_G	savings	fire_rate	escalations	deescalations	headroom_bad	mean_zvf	heldout_acc
0.3	42	76	120	0.36666666666666664	0.7333333333333333	0	11	0	0.49166666666666664	0.375
0.3	179	60	120	0.5	1.0	0	15	0	0.6083333333333333	0.5859375
0.3	316	60	120	0.5	1.0	0	15	0	0.5916666666666667	0.4765625
0.3	453	60	120	0.5	1.0	0	15	0	0.6333333333333333	0.4296875
0.3	590	64	120	0.4666666666666667	0.9333333333333333	0	14	0	0.6083333333333333	0.40625
0.35	42	76	120	0.36666666666666664	0.7333333333333333	0	11	0	0.49166666666666664	0.375
0.35	179	60	120	0.5	1.0	0	15	0	0.6083333333333333	0.5859375
0.35	316	60	120	0.5	1.0	0	15	0	0.5916666666666667	0.4765625
0.35	453	60	120	0.5	1.0	0	15	0	0.6333333333333333	0.4296875
0.35	590	64	120	0.4666666666666667	0.9333333333333333	0	14	0	0.6083333333333333	0.40625
0.4	42	80	120	0.3333333333333333	0.6666666666666666	0	10	0	0.49166666666666664	0.375
0.4	179	64	120	0.4666666666666667	0.9333333333333333	0	14	0	0.6083333333333333	0.5859375
0.4	316	68	120	0.43333333333333335	0.8666666666666667	0	13	0	0.5916666666666667	0.4765625
0.4	453	64	120	0.4666666666666667	0.9333333333333333	0	14	0	0.6333333333333333	0.4296875
0.4	590	72	120	0.4	0.8	0	12	0	0.6083333333333333	0.40625
0.45	42	80	120	0.3333333333333333	0.6666666666666666	0	10	0	0.49166666666666664	0.375
0.45	179	64	120	0.4666666666666667	0.9333333333333333	0	14	0	0.6083333333333333	0.5859375
0.45	316	68	120	0.43333333333333335	0.8666666666666667	0	13	0	0.5916666666666667	0.4765625
0.45	453	64	120	0.4666666666666667	0.9333333333333333	0	14	0	0.6333333333333333	0.4296875
0.45	590	72	120	0.4	0.8	0	12	0	0.6083333333333333	0.40625
0.5	42	80	120	0.3333333333333333	0.6666666666666666	0	10	0	0.49166666666666664	0.375
0.5	179	64	120	0.4666666666666667	0.9333333333333333	0	14	0	0.6083333333333333	0.5859375
0.5	316	68	120	0.43333333333333335	0.8666666666666667	0	13	0	0.5916666666666667	0.4765625
0.5	453	64	120	0.4666666666666667	0.9333333333333333	0	14	0	0.6333333333333333	0.4296875
0.5	590	72	120	0.4	0.8	0	12	0	0.6083333333333333	0.40625
0.55	42	96	120	0.2	0.4	0	6	0	0.49166666666666664	0.375
0.55	179	80	120	0.3333333333333333	0.6666666666666666	0	10	0	0.6083333333333333	0.5859375
0.55	316	84	120	0.3	0.6	0	9	0	0.5916666666666667	0.4765625
0.55	453	80	120	0.3333333333333333	0.6666666666666666	0	10	0	0.6333333333333333	0.4296875
0.55	590	80	120	0.3333333333333333	0.6666666666666666	0	10	0	0.6083333333333333	0.40625
0.6	42	96	120	0.2	0.4	0	6	0	0.49166666666666664	0.375
0.6	179	80	120	0.3333333333333333	0.6666666666666666	0	10	0	0.6083333333333333	0.5859375
0.6	316	84	120	0.3	0.6	0	9	0	0.5916666666666667	0.4765625
0.6	453	80	120	0.3333333333333333	0.6666666666666666	0	10	0	0.6333333333333333	0.4296875
0.6	590	80	120	0.3333333333333333	0.6666666666666666	0	10	0	0.6083333333333333	0.40625
0.65	42	112	120	0.06666666666666667	0.13333333333333333	0	2	0	0.49166666666666664	0.375
0.65	179	104	120	0.13333333333333333	0.26666666666666666	0	4	0	0.6083333333333333	0.5859375
0.65	316	104	120	0.13333333333333333	0.26666666666666666	0	4	0	0.5916666666666667	0.4765625
0.65	453	96	120	0.2	0.4	0	6	0	0.6333333333333333	0.4296875
0.65	590	100	120	0.16666666666666666	0.3333333333333333	0	5	0	0.6083333333333333	0.40625
0.7	42	112	120	0.06666666666666667	0.13333333333333333	0	2	0	0.49166666666666664	0.375
0.7	179	104	120	0.13333333333333333	0.26666666666666666	0	4	0	0.6083333333333333	0.5859375
0.7	316	104	120	0.13333333333333333	0.26666666666666666	0	4	0	0.5916666666666667	0.4765625
0.7	453	96	120	0.2	0.4	0	6	0	0.6333333333333333	0.4296875
0.7	590	100	120	0.16666666666666666	0.3333333333333333	0	5	0	0.6083333333333333	0.40625
0.75	42	112	120	0.06666666666666667	0.13333333333333333	0	2	0	0.49166666666666664	0.375
0.75	179	104	120	0.13333333333333333	0.26666666666666666	0	4	0	0.6083333333333333	0.5859375
0.75	316	104	120	0.13333333333333333	0.26666666666666666	0	4	0	0.5916666666666667	0.4765625
0.75	453	96	120	0.2	0.4	0	6	0	0.6333333333333333	0.4296875
0.75	590	100	120	0.16666666666666666	0.3333333333333333	0	5	0	0.6083333333333333	0.40625
0.8	42	120	120	0.0	0.0	0	0	0	0.49166666666666664	0.375
0.8	179	120	120	0.0	0.0	0	0	0	0.6083333333333333	0.5859375
0.8	316	120	120	0.0	0.0	0	0	0	0.5916666666666667	0.4765625
0.8	453	116	120	0.03333333333333333	0.06666666666666667	0	1	0	0.6333333333333333	0.4296875
0.8	590	112	120	0.06666666666666667	0.13333333333333333	0	2	0	0.6083333333333333	0.40625
