rate_pct	tier	fset	value_rate_mean	value_rate_sd	value_rate_cv	cv_leq_020
1.44	cheap_heuristic	24full	0.5500494587532662	0.01923705383531491	0.03497331654305656	True
1.44	cheap_heuristic	20raw	0.557730452724565	0.007765196140156909	0.013922847680672994	True
1.44	cheap_heuristic	20raw+minmax	0.5488059469057827	0.005775253379248189	0.01052330684791152	True
1.44	cheap_heuristic	20raw+stat	0.5530283992911189	0.010594889330086718	0.0191579480252143	True
1.44	small_open	24full	0.5500494587532662	0.01923705383531491	0.03497331654305656	True
1.44	small_open	20raw	0.557730452724565	0.007765196140156909	0.013922847680672994	True
1.44	small_open	20raw+minmax	0.5488059469057827	0.005775253379248189	0.01052330684791152	True
1.44	small_open	20raw+stat	0.5530283992911189	0.010594889330086718	0.0191579480252143	True
1.44	iter120_default	24full	0.5500494587532662	0.01923705383531491	0.03497331654305656	True
1.44	iter120_default	20raw	0.557730452724565	0.007765196140156909	0.013922847680672994	True
1.44	iter120_default	20raw+minmax	0.5488059469057827	0.005775253379248189	0.01052330684791152	True
1.44	iter120_default	20raw+stat	0.5530283992911189	0.010594889330086718	0.0191579480252143	True
1.44	mid_tier	24full	0.5500494587532662	0.01923705383531491	0.03497331654305656	True
1.44	mid_tier	20raw	0.557730452724565	0.007765196140156909	0.013922847680672994	True
1.44	mid_tier	20raw+minmax	0.5488059469057827	0.005775253379248189	0.01052330684791152	True
1.44	mid_tier	20raw+stat	0.5530283992911189	0.010594889330086718	0.0191579480252143	True
1.44	frontier_gpt4	24full	0.5500494587532662	0.01923705383531491	0.03497331654305656	True
1.44	frontier_gpt4	20raw	0.557730452724565	0.007765196140156909	0.013922847680672994	True
1.44	frontier_gpt4	20raw+minmax	0.5488059469057827	0.005775253379248189	0.01052330684791152	True
1.44	frontier_gpt4	20raw+stat	0.5530283992911189	0.010594889330086718	0.0191579480252143	True
1.0	cheap_heuristic	24full	0.5603952031491752	0.02833187637021521	0.05055695732405005	True
1.0	cheap_heuristic	20raw	0.5784868450825329	0.0301589530260828	0.05213420716901525	True
1.0	cheap_heuristic	20raw+minmax	0.5642732377793193	0.03838884368462206	0.06803236643952888	True
1.0	cheap_heuristic	20raw+stat	0.5685140189955764	0.02915222022554142	0.051277926755519905	True
1.0	small_open	24full	0.5603952031491752	0.02833187637021521	0.05055695732405005	True
1.0	small_open	20raw	0.5784868450825329	0.0301589530260828	0.05213420716901525	True
1.0	small_open	20raw+minmax	0.5642732377793193	0.03838884368462206	0.06803236643952888	True
1.0	small_open	20raw+stat	0.5685140189955764	0.02915222022554142	0.051277926755519905	True
1.0	iter120_default	24full	0.5603952031491752	0.02833187637021521	0.05055695732405005	True
1.0	iter120_default	20raw	0.5784868450825329	0.0301589530260828	0.05213420716901525	True
1.0	iter120_default	20raw+minmax	0.5642732377793193	0.03838884368462206	0.06803236643952888	True
1.0	iter120_default	20raw+stat	0.5685140189955764	0.02915222022554142	0.051277926755519905	True
1.0	mid_tier	24full	0.5603952031491752	0.02833187637021521	0.05055695732405005	True
1.0	mid_tier	20raw	0.5784868450825329	0.0301589530260828	0.05213420716901525	True
1.0	mid_tier	20raw+minmax	0.5642732377793193	0.03838884368462206	0.06803236643952888	True
1.0	mid_tier	20raw+stat	0.5685140189955764	0.02915222022554142	0.051277926755519905	True
1.0	frontier_gpt4	24full	0.5603952031491752	0.02833187637021521	0.05055695732405005	True
1.0	frontier_gpt4	20raw	0.5784868450825329	0.0301589530260828	0.05213420716901525	True
1.0	frontier_gpt4	20raw+minmax	0.5642732377793193	0.03838884368462206	0.06803236643952888	True
1.0	frontier_gpt4	20raw+stat	0.5685140189955764	0.02915222022554142	0.051277926755519905	True
0.5	cheap_heuristic	24full	0.5382734912146676	0.11592275056122744	0.21536031859870386	False
0.5	cheap_heuristic	20raw	0.5633497536945813	0.10872741425373629	0.19300161851616357	True
0.5	cheap_heuristic	20raw+minmax	0.5548171368861023	0.11502954054363586	0.20732874472702187	False
0.5	cheap_heuristic	20raw+stat	0.5340822260177098	0.10588837270607558	0.19826230409428452	True
0.5	small_open	24full	0.5382734912146676	0.11592275056122744	0.21536031859870386	False
0.5	small_open	20raw	0.5633497536945813	0.10872741425373629	0.19300161851616357	True
0.5	small_open	20raw+minmax	0.5548171368861023	0.11502954054363586	0.20732874472702187	False
0.5	small_open	20raw+stat	0.5340822260177098	0.10588837270607558	0.19826230409428452	True
0.5	iter120_default	24full	0.5382734912146676	0.11592275056122744	0.21536031859870386	False
0.5	iter120_default	20raw	0.5633497536945813	0.10872741425373629	0.19300161851616357	True
0.5	iter120_default	20raw+minmax	0.5548171368861023	0.11502954054363586	0.20732874472702187	False
0.5	iter120_default	20raw+stat	0.5340822260177098	0.10588837270607558	0.19826230409428452	True
0.5	mid_tier	24full	0.5382734912146676	0.11592275056122744	0.21536031859870386	False
0.5	mid_tier	20raw	0.5633497536945813	0.10872741425373629	0.19300161851616357	True
0.5	mid_tier	20raw+minmax	0.5548171368861023	0.11502954054363586	0.20732874472702187	False
0.5	mid_tier	20raw+stat	0.5340822260177098	0.10588837270607558	0.19826230409428452	True
0.5	frontier_gpt4	24full	0.5382734912146676	0.11592275056122744	0.21536031859870386	False
0.5	frontier_gpt4	20raw	0.5633497536945813	0.10872741425373629	0.19300161851616357	True
0.5	frontier_gpt4	20raw+minmax	0.5548171368861023	0.11502954054363586	0.20732874472702187	False
0.5	frontier_gpt4	20raw+stat	0.5340822260177098	0.10588837270607558	0.19826230409428452	True
0.1	cheap_heuristic	24full	0.5587301587301587	0.19935901315207324	0.3568073246755856	False
0.1	cheap_heuristic	20raw	0.5825396825396826	0.23519074989994476	0.40373343988273896	False
0.1	cheap_heuristic	20raw+minmax	0.5777777777777777	0.15850380686319007	0.2743335118785982	False
0.1	cheap_heuristic	20raw+stat	0.6261111111111111	0.2614158977662573	0.417523173007332	False
0.1	small_open	24full	0.5587301587301587	0.19935901315207324	0.3568073246755856	False
0.1	small_open	20raw	0.5825396825396826	0.23519074989994476	0.40373343988273896	False
0.1	small_open	20raw+minmax	0.5777777777777777	0.15850380686319007	0.2743335118785982	False
0.1	small_open	20raw+stat	0.6261111111111111	0.2614158977662573	0.417523173007332	False
0.1	iter120_default	24full	0.5587301587301587	0.19935901315207324	0.3568073246755856	False
0.1	iter120_default	20raw	0.5825396825396826	0.23519074989994476	0.40373343988273896	False
0.1	iter120_default	20raw+minmax	0.5777777777777777	0.15850380686319007	0.2743335118785982	False
0.1	iter120_default	20raw+stat	0.6261111111111111	0.2614158977662573	0.417523173007332	False
0.1	mid_tier	24full	0.5587301587301587	0.19935901315207324	0.3568073246755856	False
0.1	mid_tier	20raw	0.5825396825396826	0.23519074989994476	0.40373343988273896	False
0.1	mid_tier	20raw+minmax	0.5777777777777777	0.15850380686319007	0.2743335118785982	False
0.1	mid_tier	20raw+stat	0.6261111111111111	0.2614158977662573	0.417523173007332	False
0.1	frontier_gpt4	24full	0.5587301587301587	0.19935901315207324	0.3568073246755856	False
0.1	frontier_gpt4	20raw	0.5825396825396826	0.23519074989994476	0.40373343988273896	False
0.1	frontier_gpt4	20raw+minmax	0.5777777777777777	0.15850380686319007	0.2743335118785982	False
0.1	frontier_gpt4	20raw+stat	0.6261111111111111	0.2614158977662573	0.417523173007332	False
0.05	cheap_heuristic	24full	0.41	0.34985711369071804	0.8533100333919953	False
0.05	cheap_heuristic	20raw	0.41	0.34985711369071804	0.8533100333919953	False
0.05	cheap_heuristic	20raw+minmax	0.41	0.34985711369071804	0.8533100333919953	False
0.05	cheap_heuristic	20raw+stat	0.5	0.27386127875258304	0.5477225575051661	False
0.05	small_open	24full	0.41	0.34985711369071804	0.8533100333919953	False
0.05	small_open	20raw	0.41	0.34985711369071804	0.8533100333919953	False
0.05	small_open	20raw+minmax	0.41	0.34985711369071804	0.8533100333919953	False
0.05	small_open	20raw+stat	0.5	0.27386127875258304	0.5477225575051661	False
0.05	iter120_default	24full	0.41	0.34985711369071804	0.8533100333919953	False
0.05	iter120_default	20raw	0.41	0.34985711369071804	0.8533100333919953	False
0.05	iter120_default	20raw+minmax	0.41	0.34985711369071804	0.8533100333919953	False
0.05	iter120_default	20raw+stat	0.5	0.27386127875258304	0.5477225575051661	False
0.05	mid_tier	24full	0.41	0.34985711369071804	0.8533100333919953	False
0.05	mid_tier	20raw	0.41	0.34985711369071804	0.8533100333919953	False
0.05	mid_tier	20raw+minmax	0.41	0.34985711369071804	0.8533100333919953	False
0.05	mid_tier	20raw+stat	0.5	0.27386127875258304	0.5477225575051661	False
0.05	frontier_gpt4	24full	0.41	0.34985711369071804	0.8533100333919953	False
0.05	frontier_gpt4	20raw	0.41	0.34985711369071804	0.8533100333919953	False
0.05	frontier_gpt4	20raw+minmax	0.41	0.34985711369071804	0.8533100333919953	False
0.05	frontier_gpt4	20raw+stat	0.5	0.27386127875258304	0.5477225575051661	False
