model	n_test	pos_test	auc	accuracy	precision	recall	f1	brier	ece10	thr_best_f1
XGB-20raw	10000	144	0.9988	0.9964	0.86	0.8958	0.8776	0.0051	0.0324	0.37
XGB-24full	10000	144	0.9991	0.997	0.8851	0.9097	0.8973	0.0048	0.0321	0.38
XGB-4sensor	10000	144	0.9746	0.9835	0.4439	0.5764	0.5015	0.0157	0.0655	0.24
