fset	calibrator	seed	brier	ece_K1	curv_K1
20raw	pre	42	0.03279	0.00573	0.00573
20raw	platt	42	0.00608	0.32718	-0.32718
20raw	iso	42	0.00497	0.15392	-0.15392
20raw	pre	179	0.0349	0.02164	0.02164
20raw	platt	179	0.00635	0.31367	-0.31367
20raw	iso	179	0.00521	0.11657	-0.11657
20raw	pre	316	0.03453	0.01171	0.01171
20raw	platt	316	0.00609	0.30689	-0.30689
20raw	iso	316	0.00504	0.08764	-0.0721
20raw	pre	453	0.03351	0.0641	0.0641
20raw	platt	453	0.00614	0.25929	-0.25929
20raw	iso	453	0.00503	0.07009	-0.07009
20raw	pre	590	0.03337	0.0366	0.0366
20raw	platt	590	0.00601	0.28598	-0.28598
20raw	iso	590	0.00497	0.10262	-0.10262
24full	pre	42	0.02987	0.01432	0.01432
24full	platt	42	0.00544	0.29009	-0.29009
24full	iso	42	0.00438	0.10339	-0.10339
24full	pre	179	0.03063	0.0283	-0.0283
24full	platt	179	0.00547	0.33549	-0.33549
24full	iso	179	0.00436	0.18222	-0.18222
24full	pre	316	0.03206	0.00076	0.00076
24full	platt	316	0.00567	0.30229	-0.30229
24full	iso	316	0.00458	0.14527	-0.14527
24full	pre	453	0.03015	0.0034	-0.0034
24full	platt	453	0.00562	0.31511	-0.31511
24full	iso	453	0.00451	0.10172	-0.10172
24full	pre	590	0.03223	0.00221	0.00221
24full	platt	590	0.00557	0.29353	-0.29353
24full	iso	590	0.00463	0.14019	-0.14019
4sensor	pre	42	0.13731	0.43459	0.43459
4sensor	platt	42	0.01392	0.31977	-0.31977
4sensor	iso	42	0.01366	0.17623	-0.17623
4sensor	pre	179	0.13851	0.44882	0.44882
4sensor	platt	179	0.01392	0.29969	-0.29969
4sensor	iso	179	0.01375	0.18991	-0.18991
4sensor	pre	316	0.13922	0.44765	0.44765
4sensor	platt	316	0.0139	0.29853	-0.29853
4sensor	iso	316	0.01375	0.22254	-0.22254
4sensor	pre	453	0.13869	0.47698	0.47698
4sensor	platt	453	0.01391	0.27863	-0.27863
4sensor	iso	453	0.01381	0.26807	-0.26807
4sensor	pre	590	0.13607	0.42342	0.42342
4sensor	platt	590	0.01389	0.32774	-0.32774
4sensor	iso	590	0.01362	0.28822	-0.28822
