method	tau	G_N	n_fired_steps	mean_restored_pt	ci_lo	ci_hi	ci_hw
grpo	0.55	12	38	0.0225	0.0188	0.0264	0.0038
grpo	0.55	16	38	0.0338	0.0281	0.0398	0.0058
grpo	0.55	32	38	0.0464	0.0382	0.0546	0.0082
grpo	0.6	12	34	0.0214	0.0176	0.0252	0.0038
grpo	0.6	16	34	0.0321	0.0262	0.0387	0.0062
grpo	0.6	32	34	0.0441	0.0358	0.0527	0.0084
grpo	0.65	12	31	0.0208	0.017	0.0249	0.004
grpo	0.65	16	31	0.0313	0.025	0.0377	0.0063
grpo	0.65	32	31	0.0431	0.0342	0.0528	0.0093
grpo	0.7	12	20	0.0172	0.0124	0.022	0.0048
grpo	0.7	16	20	0.0259	0.0189	0.0333	0.0072
grpo	0.7	32	20	0.0359	0.0258	0.0466	0.0104
grpo	0.75	12	20	0.0172	0.0128	0.0218	0.0045
grpo	0.75	16	20	0.0259	0.0193	0.0333	0.007
grpo	0.75	32	20	0.0359	0.0258	0.0469	0.0106
grpo	0.8	12	12	0.0152	0.0096	0.0209	0.0056
grpo	0.8	16	12	0.0231	0.0147	0.0327	0.009
grpo	0.8	32	12	0.0322	0.0199	0.046	0.013
aero	0.55	12	40	0.0214	0.018	0.025	0.0035
aero	0.55	16	40	0.032	0.0269	0.0376	0.0053
aero	0.55	32	40	0.0438	0.0359	0.0518	0.008
aero	0.6	12	35	0.0207	0.017	0.0243	0.0036
aero	0.6	16	35	0.0311	0.0251	0.0371	0.006
aero	0.6	32	35	0.0429	0.0343	0.052	0.0089
aero	0.65	12	28	0.0181	0.0143	0.0223	0.004
aero	0.65	16	28	0.0272	0.0212	0.0336	0.0062
aero	0.65	32	28	0.0373	0.0287	0.0463	0.0088
aero	0.7	12	19	0.0155	0.0111	0.0202	0.0046
aero	0.7	16	19	0.0232	0.0166	0.0304	0.0069
aero	0.7	32	19	0.0316	0.0222	0.0421	0.0099
aero	0.75	12	19	0.0155	0.0112	0.0201	0.0045
aero	0.75	16	19	0.0232	0.0165	0.0306	0.007
aero	0.75	32	19	0.0316	0.022	0.0413	0.0097
aero	0.8	12	14	0.0157	0.0104	0.0214	0.0055
aero	0.8	16	14	0.0238	0.0162	0.0333	0.0086
aero	0.8	32	14	0.0331	0.0209	0.0462	0.0126
gift	0.55	12	40	0.0185	0.0152	0.022	0.0034
gift	0.55	16	40	0.0277	0.0226	0.0331	0.0053
gift	0.55	32	40	0.0381	0.0308	0.0459	0.0076
gift	0.6	12	37	0.0173	0.014	0.0208	0.0034
gift	0.6	16	37	0.026	0.0205	0.0312	0.0053
gift	0.6	32	37	0.0358	0.0286	0.044	0.0077
gift	0.65	12	30	0.0136	0.0104	0.0172	0.0034
gift	0.65	16	30	0.0204	0.0156	0.0258	0.0051
gift	0.65	32	30	0.0282	0.0211	0.0363	0.0076
gift	0.7	12	26	0.0107	0.0076	0.014	0.0032
gift	0.7	16	26	0.0159	0.011	0.0211	0.0051
gift	0.7	32	26	0.0218	0.0147	0.0296	0.0075
gift	0.75	12	26	0.0107	0.0077	0.0141	0.0032
gift	0.75	16	26	0.0159	0.0112	0.021	0.0049
gift	0.75	32	26	0.0218	0.0151	0.0295	0.0072
gift	0.8	12	17	0.008	0.0047	0.012	0.0036
gift	0.8	16	17	0.0121	0.0069	0.0186	0.0058
gift	0.8	32	17	0.0168	0.009	0.0257	0.0084
areal	0.55	12	36	0.0224	0.0187	0.0265	0.0039
areal	0.55	16	36	0.0337	0.028	0.0398	0.0059
areal	0.55	32	36	0.0466	0.0384	0.0553	0.0085
areal	0.6	12	33	0.0211	0.0174	0.0254	0.004
areal	0.6	16	33	0.0318	0.0257	0.038	0.0061
areal	0.6	32	33	0.044	0.0356	0.0534	0.0089
areal	0.65	12	29	0.0203	0.0161	0.0245	0.0042
areal	0.65	16	29	0.0307	0.0243	0.0374	0.0065
areal	0.65	32	29	0.0427	0.0341	0.0521	0.009
areal	0.7	12	17	0.0149	0.0103	0.0198	0.0047
areal	0.7	16	17	0.0222	0.0157	0.0298	0.007
areal	0.7	32	17	0.0304	0.0204	0.0419	0.0107
areal	0.75	12	17	0.0149	0.0105	0.0196	0.0046
areal	0.75	16	17	0.0222	0.0151	0.0299	0.0074
areal	0.75	32	17	0.0304	0.0208	0.0411	0.0102
areal	0.8	12	11	0.0129	0.0076	0.0186	0.0055
areal	0.8	16	11	0.0195	0.0113	0.0286	0.0086
areal	0.8	32	11	0.0269	0.0151	0.0404	0.0127
