tau	pair	spearman_rho
0.5	42-179	-0.1890
0.5	42-316	0.5547
0.5	42-453	-0.1890
0.5	42-590	0.0000
0.5	179-316	-0.1048
0.5	179-453	-0.0714
0.5	179-590	0.5345
0.5	316-453	-0.1048
0.5	316-590	-0.1961
0.5	453-590	-0.1336
0.55	42-179	-0.2887
0.55	42-316	-0.1667
0.55	42-453	0.0000
0.55	42-590	0.0000
0.55	179-316	0.0000
0.55	179-453	-0.5000
0.55	179-590	0.7000
0.55	316-453	0.0000
0.55	316-590	0.0000
0.55	453-590	-0.5000
0.6	42-179	-0.2887
0.6	42-316	-0.1667
0.6	42-453	0.0000
0.6	42-590	0.0000
0.6	179-316	0.0000
0.6	179-453	-0.5000
0.6	179-590	0.7000
0.6	316-453	0.0000
0.6	316-590	0.0000
0.6	453-590	-0.5000
0.65	42-179	-0.2365
0.65	42-316	-0.2365
0.65	42-453	-0.3203
0.65	42-590	0.1387
0.65	179-316	0.3182
0.65	179-453	0.1231
0.65	179-590	-0.1066
0.65	316-453	-0.1846
0.65	316-590	-0.1066
0.65	453-590	0.0000
0.7	42-179	-0.2365
0.7	42-316	-0.2365
0.7	42-453	-0.3203
0.7	42-590	0.1387
0.7	179-316	0.3182
0.7	179-453	0.1231
0.7	179-590	-0.1066
0.7	316-453	-0.1846
0.7	316-590	-0.1066
0.7	453-590	0.0000
0.75	42-179	-0.2365
0.75	42-316	-0.2365
0.75	42-453	-0.3203
0.75	42-590	0.1387
0.75	179-316	0.3182
0.75	179-453	0.1231
0.75	179-590	-0.1066
0.75	316-453	-0.1846
0.75	316-590	-0.1066
0.75	453-590	0.0000
0.8	42-179	nan
0.8	42-316	nan
0.8	42-453	nan
0.8	42-590	nan
0.8	179-316	nan
0.8	179-453	nan
0.8	179-590	nan
0.8	316-453	nan
0.8	316-590	nan
0.8	453-590	-0.1048
0.85	42-179	nan
0.85	42-316	nan
0.85	42-453	nan
0.85	42-590	nan
0.85	179-316	nan
0.85	179-453	nan
0.85	179-590	nan
0.85	316-453	nan
0.85	316-590	nan
0.85	453-590	-0.1048
