source	target	tau	is_source_self	is_source_selected	fires	cost_ratio	cost_ratio_ci_lo	cost_ratio_ci_hi	saved	wasted
grpo	grpo	0.50	1	0	38	1.9500	1.8750	2.0000	0	442
grpo	grpo	0.60	1	0	33	1.8250	1.7000	1.9500	0	398
grpo	grpo	0.65	1	0	30	1.7500	1.6250	1.8750	0	368
grpo	grpo	0.70	1	0	20	1.5000	1.3500	1.6500	0	258
grpo	grpo	0.75	1	0	20	1.5000	1.3500	1.6500	0	258
grpo	grpo	0.80	1	0	12	1.3000	1.1500	1.4250	0	162
grpo	grpo	0.85	1	0	4	1.1000	1.0250	1.2000	0	58
grpo	grpo	0.90	1	0	2	1.0500	1.0000	1.1250	0	30
grpo	aero	0.50	0	0	38	1.9500	1.8750	2.0000	0	439
grpo	aero	0.60	0	0	33	1.8250	1.7000	1.9250	0	394
grpo	aero	0.65	0	0	26	1.6500	1.5000	1.8000	0	324
grpo	aero	0.70	0	0	19	1.4750	1.3250	1.6250	0	247
grpo	aero	0.75	0	0	19	1.4750	1.3250	1.6250	0	247
grpo	aero	0.80	0	0	14	1.3500	1.2000	1.5000	0	187
grpo	aero	0.85	0	0	4	1.1000	1.0250	1.2000	0	57
grpo	aero	0.90	0	0	1	1.0250	1.0000	1.0750	0	15
grpo	gift	0.50	0	0	38	1.9500	1.8750	2.0000	0	472
grpo	gift	0.60	0	0	36	1.9000	1.8000	1.9750	0	454
grpo	gift	0.65	0	0	29	1.7250	1.5750	1.8750	0	384
grpo	gift	0.70	0	0	25	1.6250	1.4750	1.7750	0	340
grpo	gift	0.75	0	0	25	1.6250	1.4750	1.7750	0	340
grpo	gift	0.80	0	0	17	1.4250	1.2750	1.6000	0	244
grpo	gift	0.85	0	0	14	1.3500	1.2000	1.5000	0	205
grpo	gift	0.90	0	0	8	1.2000	1.0750	1.3250	0	121
grpo	areal	0.50	0	0	38	1.9500	1.8750	2.0000	0	433
grpo	areal	0.60	0	0	32	1.8000	1.6750	1.9250	0	382
grpo	areal	0.65	0	0	28	1.7000	1.5500	1.8250	0	342
grpo	areal	0.70	0	0	17	1.4250	1.2750	1.5750	0	221
grpo	areal	0.75	0	0	17	1.4250	1.2750	1.5750	0	221
grpo	areal	0.80	0	0	11	1.2750	1.1500	1.4250	0	149
grpo	areal	0.85	0	0	5	1.1250	1.0250	1.2250	0	71
grpo	areal	0.90	0	0	1	1.0250	1.0000	1.0750	0	15
aero	grpo	0.50	0	0	38	1.9500	1.8750	2.0000	0	442
aero	grpo	0.60	0	0	33	1.8250	1.7000	1.9250	0	398
aero	grpo	0.65	0	0	30	1.7500	1.6000	1.8750	0	368
aero	grpo	0.70	0	0	20	1.5000	1.3500	1.6500	0	258
aero	grpo	0.75	0	0	20	1.5000	1.3500	1.6500	0	258
aero	grpo	0.80	0	0	12	1.3000	1.1500	1.4500	0	162
aero	grpo	0.85	0	0	4	1.1000	1.0250	1.2000	0	58
aero	grpo	0.90	0	0	2	1.0500	1.0000	1.1250	0	30
aero	aero	0.50	1	0	38	1.9500	1.8750	2.0000	0	439
aero	aero	0.60	1	0	33	1.8250	1.7000	1.9250	0	394
aero	aero	0.65	1	0	26	1.6500	1.5000	1.8000	0	324
aero	aero	0.70	1	0	19	1.4750	1.3250	1.6250	0	247
aero	aero	0.75	1	0	19	1.4750	1.3250	1.6250	0	247
aero	aero	0.80	1	0	14	1.3500	1.2000	1.5000	0	187
aero	aero	0.85	1	0	4	1.1000	1.0250	1.2000	0	57
aero	aero	0.90	1	0	1	1.0250	1.0000	1.0750	0	15
aero	gift	0.50	0	0	38	1.9500	1.8750	2.0000	0	472
aero	gift	0.60	0	0	36	1.9000	1.8000	1.9750	0	454
aero	gift	0.65	0	0	29	1.7250	1.5750	1.8500	0	384
aero	gift	0.70	0	0	25	1.6250	1.4750	1.7750	0	340
aero	gift	0.75	0	0	25	1.6250	1.4750	1.7750	0	340
aero	gift	0.80	0	0	17	1.4250	1.2750	1.5750	0	244
aero	gift	0.85	0	0	14	1.3500	1.2000	1.5000	0	205
aero	gift	0.90	0	0	8	1.2000	1.0750	1.3250	0	121
aero	areal	0.50	0	0	38	1.9500	1.8750	2.0000	0	433
aero	areal	0.60	0	0	32	1.8000	1.6750	1.9250	0	382
aero	areal	0.65	0	0	28	1.7000	1.5500	1.8250	0	342
aero	areal	0.70	0	0	17	1.4250	1.2750	1.6000	0	221
aero	areal	0.75	0	0	17	1.4250	1.2750	1.5750	0	221
aero	areal	0.80	0	0	11	1.2750	1.1500	1.4250	0	149
aero	areal	0.85	0	0	5	1.1250	1.0250	1.2250	0	71
aero	areal	0.90	0	0	1	1.0250	1.0000	1.0750	0	15
gift	grpo	0.50	0	0	38	1.9500	1.8750	2.0000	0	442
gift	grpo	0.60	0	0	33	1.8250	1.7000	1.9250	0	398
gift	grpo	0.65	0	0	30	1.7500	1.6000	1.8750	0	368
gift	grpo	0.70	0	0	20	1.5000	1.3500	1.6500	0	258
