variant	n_feat	auc	accuracy	f1	brier	ece10
ALL_24	24	0.9991	0.997	0.8973	0.0048	0.0321
RAW_20_ONLY	20	0.9988	0.9964	0.8776	0.0051	0.0324
AGG_4_ONLY	4	0.9746	0.9835	0.5015	0.0157	0.0655
drop_V_mean	23	0.9993	0.9964	0.8824	0.0049	0.0324
drop_V_std	23	0.9992	0.997	0.8958	0.0049	0.0326
drop_V_max	23	0.9993	0.9976	0.9137	0.0048	0.0327
drop_V_min	23	0.9992	0.9976	0.9137	0.0048	0.0324
