claim_id	source_corpus	value_str	n_required_fields	required_fields	citation	n_source_rows	n_source_rows_pass	coverage	wilson95_lo	wilson95_hi
C01_eta2_prompt_n2	n2	0.9166	4	prompt_idx;method;step;reward_mean	experiments/results/n2_reward_tensor_resume/grpo_s0_tensors.jsonl	160	160	1.0	0.9766	1.0
C02_eta2_step_n2	n2	0.0625	4	step;method;prompt_idx;reward_mean	experiments/results/n2_reward_tensor_resume/grpo_s0_tensors.jsonl	160	160	1.0	0.9766	1.0
C03_eta2_method_n2	n2	0.0005	4	method;step;prompt_idx;reward_mean	experiments/results/n2_reward_tensor_resume/grpo_s0_tensors.jsonl	160	160	1.0	0.9766	1.0
C04_eta2_seed_zvf_n10	n10	0.1025	3	seed;step_band;zvf	experiments/results/n10_seed_expansion/n10_grpo_s42.json	75	75	1.0	0.9513	1.0
C05_eta2_band_zvf_n10	n10	0.0346	3	step_band;seed;zvf	experiments/results/n10_seed_expansion/n10_grpo_s42.json	75	75	1.0	0.9513	1.0
C06_R_band_over_seed_reward_n10	n10	2.97	3	step_band;seed;reward_mean	experiments/results/n10_seed_expansion/n10_grpo_s42.json	75	75	1.0	0.9513	1.0
C07_R_stack_over_algo_zvf_mega	mega	10.32	3	stack_axis;algo_axis;zvf	experiments/results/mega_20260704/cells.tsv	98	98	1.0	0.9623	1.0
C08_R_stack_over_algo_pcd_mega	mega	8.5	3	stack_axis;algo_axis;pcd	experiments/results/mega_20260704/cells.tsv	98	98	1.0	0.9623	1.0
C09_field_coverage_mega	mega	98/98	7	cell_id;model;task_slice;G;temperature;seed;zvf	experiments/results/mega_20260704/manifests/*.json	98	98	1.0	0.9623	1.0
C10_recovery_rate_mega	mega	13/18	4	cell_id;zvf;pcd;mean_completion_len	experiments/results/mega_20260704/cells.tsv	98	98	1.0	0.9623	1.0
C11_ambiguous_fields_mega	mega	4/18	2	cell_id;manifest_path	experiments/results/mega_20260704/cells.tsv	98	98	1.0	0.9623	1.0
C12_value_correct_mega	mega	98/98	4	cell_id;tensor_path;manifest_path;zvf	experiments/results/mega_20260704/cells.tsv	98	98	1.0	0.9623	1.0
C13_eta2_loss_n2	n2	0.987	3	method;step;loss	experiments/results/n2_reward_tensor_resume/grpo_s0_tensors.jsonl	160	160	1.0	0.9766	1.0
C14_eta2_zvf_n2	n2	0.045	3	method;step;zvf	experiments/results/n2_reward_tensor_resume/grpo_s0_tensors.jsonl	160	160	1.0	0.9766	1.0
C15_recoverable_mega	mega	13/18	2	cell_id;manifest_path	experiments/results/mega_20260704/manifests/*.json	98	98	1.0	0.9623	1.0
C16_recoverable_n2	n2	7/18	3	reward_mean;zvf;prompt_idx	experiments/results/n2_reward_tensor_resume/grpo_s0_tensors.jsonl	160	160	1.0	0.9766	1.0
C17_recoverable_n10	n10	3/18	3	seed;step_band;zvf	experiments/results/n10_seed_expansion/n10_grpo_s42.json	75	75	1.0	0.9513	1.0
C18_manifest_xref_mega	mega	98/98	3	cell_id;manifest_path;tensor_path	experiments/results/mega_20260704/manifests/*.json	98	98	1.0	0.9623	1.0
C19_p5_cite_formed	bib	38/38	1	cite_key	paper/references.bib	211	211	1.0	0.9821	1.0
C20_v24_bib	bib	38/38	1	cite_key	paper/references.bib	211	211	1.0	0.9821	1.0
C21_v24_manifest	mega	98/98	2	cell_id;manifest_path	experiments/results/mega_20260704/manifests/*.json	98	98	1.0	0.9623	1.0
C22_v24_cells	mega	98/98	3	cell_id;tensor_path;manifest_path	experiments/results/mega_20260704/cells.tsv	98	98	1.0	0.9623	1.0
