decile	cost_ratio	gap	share
0	1	-0.001200	0.103448
1	1	-0.001000	0.086207
2	1	-0.000200	0.017241
3	1	-0.002000	0.172414
4	1	-0.002400	0.206897
5	1	0.000000	-0.000000
6	1	0.000600	-0.051724
7	1	-0.001000	0.086207
8	1	-0.000800	0.068966
9	1	-0.003600	0.310345
0	10	-0.002400	0.091603
1	10	-0.000400	0.015267
2	10	-0.005200	0.198473
3	10	-0.001400	0.053435
4	10	-0.004200	0.160305
5	10	0.000400	-0.015267
6	10	-0.001200	0.045802
7	10	-0.002800	0.106870
8	10	-0.004400	0.167939
9	10	-0.004600	0.175573
0	100	-0.002400	0.044118
1	100	-0.000400	0.007353
2	100	-0.025000	0.459559
3	100	-0.006800	0.125000
4	100	-0.003200	0.058824
5	100	-0.002400	0.044118
6	100	-0.001200	0.022059
7	100	-0.002800	0.051471
8	100	-0.005600	0.102941
9	100	-0.004600	0.084559
0	1000	-0.002400	0.044118
1	1000	-0.000400	0.007353
2	1000	-0.025000	0.459559
3	1000	-0.006800	0.125000
4	1000	-0.003200	0.058824
5	1000	-0.002400	0.044118
6	1000	-0.001200	0.022059
7	1000	-0.002800	0.051471
8	1000	-0.005600	0.102941
9	1000	-0.004600	0.084559
0	10000	-0.002400	0.044118
1	10000	-0.000400	0.007353
2	10000	-0.025000	0.459559
3	10000	-0.006800	0.125000
4	10000	-0.003200	0.058824
5	10000	-0.002400	0.044118
6	10000	-0.001200	0.022059
7	10000	-0.002800	0.051471
8	10000	-0.005600	0.102941
9	10000	-0.004600	0.084559
