method	controller	fires	saved	wasted	cost_ratio_pt	cost_ratio_lo	cost_ratio_hi
grpo	fixed_g	0	0	461	1.0	1.0	1.0
grpo	zvf_triage_0.50	640	0	461	2.0	2.0	2.0
grpo	zvf_triage_0.70	320	0	461	1.5	1.35	1.65
grpo	zvf_triage_0.80	192	0	461	1.3	1.175	1.45
grpo	zvf_triage_0.90	32	0	461	1.05	1.0	1.125
grpo	dualformer_auto	609	0	461	0.655	0.599	0.713
grpo	hybrid_0.70	320	0	461	1.5	1.35	1.65
grpo	hybrid_no_triage	0	0	461	1.0	1.0	1.0
aero	fixed_g	0	0	461	1.0	1.0	1.0
aero	zvf_triage_0.50	640	0	461	2.0	2.0	2.0
aero	zvf_triage_0.70	304	0	461	1.475	1.325	1.625
aero	zvf_triage_0.80	224	0	461	1.35	1.2	1.5
aero	zvf_triage_0.90	16	0	461	1.025	1.0	1.075
aero	dualformer_auto	611	0	461	0.677	0.618	0.737
aero	hybrid_0.70	304	0	461	1.475	1.325	1.625
aero	hybrid_no_triage	0	0	461	1.0	1.0	1.0
gift	fixed_g	0	0	493	1.0	1.0	1.0
gift	zvf_triage_0.50	640	0	493	2.0	2.0	2.0
gift	zvf_triage_0.70	416	0	493	1.65	1.5	1.8
gift	zvf_triage_0.80	272	0	493	1.425	1.275	1.575
gift	zvf_triage_0.90	128	0	493	1.2	1.075	1.325
gift	dualformer_auto	615	0	493	0.621	0.564	0.68
gift	hybrid_0.70	416	0	493	1.65	1.5	1.8
gift	hybrid_no_triage	0	0	493	1.0	1.0	1.0
areal	fixed_g	0	0	452	1.0	1.0	1.0
areal	zvf_triage_0.50	640	0	452	2.0	2.0	2.0
areal	zvf_triage_0.70	272	0	452	1.425	1.275	1.575
areal	zvf_triage_0.80	176	0	452	1.275	1.15	1.425
areal	zvf_triage_0.90	16	0	452	1.025	1.0	1.075
areal	dualformer_auto	619	0	452	0.673	0.619	0.73
areal	hybrid_0.70	272	0	452	1.425	1.275	1.575
areal	hybrid_no_triage	0	0	452	1.0	1.0	1.0
