tau	mean_kappa	se_kappa	cv_kappa	n_pairs
0.3	0.2881	0.1478	1.6225	10
0.4	0.0097	0.0723	23.5809	10
0.5	0.0097	0.0723	23.5809	10
0.55	-0.0704	0.1013	0.0	10
0.6	-0.0704	0.1013	0.0	10
0.65	-0.0516	0.0558	0.0	10
0.7	-0.0516	0.0558	0.0	10
0.75	-0.0516	0.0558	0.0	10
0.8	0.2902	0.1472	1.6039	10
0.85	0.2902	0.1472	1.6039	10
0.9	1.0	0.0	0.0	10
