pillar	weighting	run_length	count
P5	raw	1	20
P5	raw	2	6
P5	raw	4	2
P5	weighted	1	18
P5	weighted	2	7
P5	weighted	4	2
P6	raw	1	23
P6	raw	2	2
P6	raw	3	1
P6	raw	4	1
P6	raw	6	1
P6	weighted	1	24
P6	weighted	2	5
P6	weighted	3	2
P7	raw	1	24
P7	raw	2	5
P7	raw	3	2
P7	weighted	1	17
P7	weighted	2	6
P7	weighted	3	1
P7	weighted	4	2
P8	raw	1	17
P8	raw	2	8
P8	raw	3	1
P8	raw	4	1
P8	weighted	1	17
P8	weighted	2	8
P8	weighted	3	1
P8	weighted	4	1
