seed	rate_pct	fset	tier	utility	opt_tau	n_pos_te	tp	fp	alerted	fn	precision	recall	f1	cost_per_caught
20260706	1.44	20raw	frontier_gpt4	VALUE	0.536	144	144	181	325	0	0.4430769230769231	1.0	0.6140724946695096	0.06770833333333333
20260706	1.44	20raw	frontier_gpt4	PREC_CONSTRAINED	0.571	144	143	141	284	1	0.5035211267605634	0.9930555555555556	0.6682242990654206	0.059580419580419576
20260706	1.44	20raw	frontier_gpt4	COST_CONSTRAINED	0.001	144	144	9843	9987	0	0.01441874436767798	1.0	0.02842759846017175	2.080625
20260706	1.44	20raw+minmax	cheap_heuristic	F1	0.766	144	122	28	150	22	0.8133333333333334	0.8472222222222222	0.8299319727891157	0.00012295081967213115
20260706	1.44	20raw+minmax	cheap_heuristic	VALUE	0.476	144	144	238	382	0	0.3769633507853403	1.0	0.5475285171102662	0.0002652777777777778
20260706	1.44	20raw+minmax	cheap_heuristic	PREC_CONSTRAINED	0.556	144	142	140	282	2	0.5035460992907801	0.9861111111111112	0.6666666666666666	0.00019859154929577466
20260706	1.44	20raw+minmax	cheap_heuristic	COST_CONSTRAINED	0.001	144	144	9849	9993	0	0.01441008706094266	1.0	0.028410772417875107	0.006939583333333334
20260706	1.44	20raw+minmax	small_open	F1	0.766	144	122	28	150	22	0.8133333333333334	0.8472222222222222	0.8299319727891157	0.0007377049180327869
20260706	1.44	20raw+minmax	small_open	VALUE	0.476	144	144	238	382	0	0.3769633507853403	1.0	0.5475285171102662	0.0015916666666666666
20260706	1.44	20raw+minmax	small_open	PREC_CONSTRAINED	0.556	144	142	140	282	2	0.5035460992907801	0.9861111111111112	0.6666666666666666	0.001191549295774648
20260706	1.44	20raw+minmax	small_open	COST_CONSTRAINED	0.001	144	144	9849	9993	0	0.01441008706094266	1.0	0.028410772417875107	0.041637499999999994
20260706	1.44	20raw+minmax	iter120_default	F1	0.766	144	122	28	150	22	0.8133333333333334	0.8472222222222222	0.8299319727891157	0.0012295081967213114
20260706	1.44	20raw+minmax	iter120_default	VALUE	0.476	144	144	238	382	0	0.3769633507853403	1.0	0.5475285171102662	0.0026527777777777778
20260706	1.44	20raw+minmax	iter120_default	PREC_CONSTRAINED	0.556	144	142	140	282	2	0.5035460992907801	0.9861111111111112	0.6666666666666666	0.0019859154929577467
20260706	1.44	20raw+minmax	iter120_default	COST_CONSTRAINED	0.001	144	144	9849	9993	0	0.01441008706094266	1.0	0.028410772417875107	0.06939583333333334
20260706	1.44	20raw+minmax	mid_tier	F1	0.766	144	122	28	150	22	0.8133333333333334	0.8472222222222222	0.8299319727891157	0.006147540983606557
