axis	level	eta2	ss_axis	ss_within	ss_total	n	k	grand_mean
method	cell_means	0.000503	0.118164	234.815332	234.933496	2560	4	0.833789
step	cell_means	0.062542	14.693262	220.240234	234.933496	2560	40	0.833789
prompt	cell_means	0.035252	8.281934	226.651562	234.933496	2560	16	0.833789
method	raw_5120	0.000333	0.945313	2837.272656	2838.217969	20480	4	0.833789
step	raw_5120	0.041415	117.546094	2720.671875	2838.217969	20480	40	0.833789
prompt	raw_5120	0.023344	66.255469	2771.962500	2838.217969	20480	16	0.833789
