domain_id	pillar_or_layer	value	layer
D17_P5	P5	0.0	LOW
D17_P6	P6	0.1	LOW
D17_P7	P7	0.1111	MID
D17_P8	P8	0.1667	MID
D17_P5P8-SYNTH	P5P8-SYNTH	0.0	LOW
D17_OVERALL	ALL	0.0769	LOW
