sigma	L	tau_star	cost_20raw_per_dec	cost_24full_per_dec	delta_cost_per_dec	auc_20raw	auc_24full
0.0	1.0	0.6666666666666666	0.01185	0.0121161	0.0002661000000000001	0.9971457036886725	0.9973373523178211
0.0	5.0	0.9090909090909091	0.06525	0.06615454999999999	0.0009045499999999947	0.9971457036886725	0.9973373523178211
0.0	25.0	0.9803921568627451	0.3551	0.35755034999999996	0.0024503499999999805	0.9971457036886725	0.9973373523178211
0.0	100.0	0.9950248756218906	1.43005	1.44	0.00995	0.9971457036886725	0.9973373523178211
0.0	500.0	0.999000999000999	7.2	7.2	0.0	0.9971457036886725	0.9973373523178211
0.005	1.0	0.6666666666666666	0.01185	0.012016800000000001	0.00016680000000000064	0.9971457036886725	0.9971464082792207
0.005	5.0	0.9090909090909091	0.06525	0.06705385	0.0018038499999999999	0.9971457036886725	0.9971464082792207
0.005	25.0	0.9803921568627451	0.3551	0.35755034999999996	0.0024503499999999805	0.9971457036886725	0.9971464082792207
0.005	100.0	0.9950248756218906	1.43005	1.44	0.00995	0.9971457036886725	0.9971464082792207
0.005	500.0	0.999000999000999	7.2	7.2	0.0	0.9971457036886725	0.9971464082792207
0.01	1.0	0.6666666666666666	0.01185	0.012066450000000001	0.00021645000000000038	0.9971457036886725	0.9981448130862193
0.01	5.0	0.9090909090909091	0.06525	0.0657049	0.00045489999999999783	0.9971457036886725	0.9981448130862193
0.01	25.0	0.9803921568627451	0.3551	0.3551007	7.000000000061846e-07	0.9971457036886725	0.9981448130862193
0.01	100.0	0.9950248756218906	1.43005	1.44	0.00995	0.9971457036886725	0.9981448130862193
0.01	500.0	0.999000999000999	7.2	7.2	0.0	0.9971457036886725	0.9981448130862193
0.02	1.0	0.6666666666666666	0.01185	0.01236435	0.0005143500000000003	0.9971457036886725	0.9972232086489898
0.02	5.0	0.9090909090909091	0.06525	0.06705385	0.0018038499999999999	0.9971457036886725	0.9972232086489898
0.02	25.0	0.9803921568627451	0.3551	0.35755034999999996	0.0024503499999999805	0.9971457036886725	0.9972232086489898
0.02	100.0	0.9950248756218906	1.43005	1.44	0.00995	0.9971457036886725	0.9972232086489898
0.02	500.0	0.999000999000999	7.2	7.2	0.0	0.9971457036886725	0.9972232086489898
0.05	1.0	0.6666666666666666	0.01185	0.0121161	0.0002661000000000001	0.9971457036886725	0.9950129080988457
0.05	5.0	0.9090909090909091	0.06525	0.06795315	0.0027031500000000053	0.9971457036886725	0.9950129080988457
0.05	25.0	0.9803921568627451	0.3551	0.35755034999999996	0.0024503499999999805	0.9971457036886725	0.9950129080988457
0.05	100.0	0.9950248756218906	1.43005	1.44	0.00995	0.9971457036886725	0.9950129080988457
0.05	500.0	0.999000999000999	7.2	7.2	0.0	0.9971457036886725	0.9950129080988457
