fset	seed	quartile	n_test	n_pos	precision_at_1pct	hit_rate_at_1pct	auc
20raw	42	0	2500	35	0.68	0.485714	0.992756
20raw	42	1	2500	35	0.88	0.628571	0.997033
20raw	42	2	2500	38	0.92	0.605263	0.999113
20raw	42	3	2500	36	1.0	0.694444	0.999786
20raw	179	0	2500	35	0.64	0.457143	0.991017
20raw	179	1	2500	35	0.84	0.6	0.996523
20raw	179	2	2500	38	0.92	0.605263	0.998835
20raw	179	3	2500	36	0.96	0.666667	0.999605
20raw	316	0	2500	35	0.64	0.457143	0.991226
20raw	316	1	2500	35	0.88	0.628571	0.997253
20raw	316	2	2500	38	0.96	0.631579	0.998749
20raw	316	3	2500	36	1.0	0.694444	0.999684
20raw	453	0	2500	35	0.6	0.428571	0.991017
20raw	453	1	2500	35	0.84	0.6	0.99687
20raw	453	2	2500	38	0.92	0.605263	0.99907
20raw	453	3	2500	36	1.0	0.694444	0.999876
20raw	590	0	2500	35	0.72	0.514286	0.992802
20raw	590	1	2500	35	0.88	0.628571	0.99701
20raw	590	2	2500	38	0.92	0.605263	0.998846
20raw	590	3	2500	36	0.96	0.666667	0.999775
24full	42	0	2500	35	0.84	0.6	0.997728
24full	42	1	2500	35	0.88	0.628571	0.997786
24full	42	2	2500	38	0.88	0.578947	0.998792
24full	42	3	2500	36	1.0	0.694444	0.999876
24full	179	0	2500	35	0.84	0.6	0.997508
24full	179	1	2500	35	0.84	0.6	0.997473
24full	179	2	2500	38	0.96	0.631579	0.998429
24full	179	3	2500	36	1.0	0.694444	0.999876
24full	316	0	2500	35	0.92	0.657143	0.997218
24full	316	1	2500	35	0.84	0.6	0.997693
24full	316	2	2500	38	0.92	0.605263	0.998333
24full	316	3	2500	36	1.0	0.694444	0.999853
24full	453	0	2500	35	0.92	0.657143	0.997334
24full	453	1	2500	35	0.92	0.657143	0.997775
24full	453	2	2500	38	0.92	0.605263	0.998236
24full	453	3	2500	36	0.96	0.666667	0.999707
24full	590	0	2500	35	0.96	0.685714	0.997937
24full	590	1	2500	35	0.88	0.628571	0.997647
24full	590	2	2500	38	0.88	0.578947	0.997991
24full	590	3	2500	36	1.0	0.694444	0.999853
4sensor	42	0	2500	35	0.56	0.4	0.979542
4sensor	42	1	2500	35	0.52	0.371429	0.962631
4sensor	42	2	2500	38	0.36	0.236842	0.961061
4sensor	42	3	2500	36	0.36	0.25	0.961062
4sensor	179	0	2500	35	0.6	0.428571	0.966595
4sensor	179	1	2500	35	0.36	0.257143	0.962249
4sensor	179	2	2500	38	0.28	0.184211	0.948662
4sensor	179	3	2500	36	0.36	0.25	0.964624
4sensor	316	0	2500	35	0.52	0.371429	0.973353
4sensor	316	1	2500	35	0.48	0.342857	0.961959
4sensor	316	2	2500	38	0.32	0.210526	0.939437
4sensor	316	3	2500	36	0.32	0.222222	0.960915
4sensor	453	0	2500	35	0.52	0.371429	0.976019
4sensor	453	1	2500	35	0.52	0.371429	0.9506
4sensor	453	2	2500	38	0.32	0.210526	0.929935
4sensor	453	3	2500	36	0.28	0.194444	0.967735
4sensor	590	0	2500	35	0.52	0.371429	0.978209
4sensor	590	1	2500	35	0.6	0.428571	0.970733
4sensor	590	2	2500	38	0.32	0.210526	0.948972
4sensor	590	3	2500	36	0.32	0.222222	0.960453
