method	step	mean_dH	max_dH	eta	bits_per_rollout	n_boundary	n_mid_edge
aero	0	0.389796	0.421731	0.924276	0.048724	11	5
aero	1	0.392847	0.422757	0.929250	0.049106	11	5
aero	2	0.385379	0.408867	0.942553	0.048172	13	3
aero	3	0.391749	0.421731	0.928907	0.048969	11	5
aero	4	0.390364	0.422757	0.923377	0.048795	12	4
aero	5	0.395133	0.421731	0.936931	0.049392	9	7
aero	6	0.389713	0.421731	0.924080	0.048714	12	4
aero	7	0.393275	0.422757	0.930263	0.049159	10	6
aero	8	0.392911	0.422757	0.929402	0.049114	11	5
aero	9	0.393556	0.421731	0.933192	0.049195	10	6
aero	10	0.388909	0.418057	0.930277	0.048614	12	4
aero	11	0.396640	0.422757	0.938222	0.049580	9	7
aero	12	0.391749	0.421731	0.928907	0.048969	11	5
aero	13	0.398031	0.422757	0.941513	0.049754	9	7
aero	14	0.388922	0.422757	0.919966	0.048615	12	4
aero	15	0.386987	0.421731	0.917616	0.048373	13	3
aero	16	0.396359	0.422757	0.937558	0.049545	9	7
aero	17	0.396524	0.422757	0.937948	0.049565	9	7
aero	18	0.393684	0.422757	0.931230	0.049210	10	6
aero	19	0.394194	0.422757	0.932436	0.049274	10	6
aero	20	0.393339	0.422757	0.930414	0.049167	10	6
aero	21	0.386247	0.422757	0.913638	0.048281	13	3
aero	22	0.389796	0.421731	0.924276	0.048724	11	5
aero	23	0.386527	0.418057	0.924580	0.048316	13	3
aero	24	0.385379	0.408867	0.942553	0.048172	13	3
aero	25	0.390945	0.421731	0.927001	0.048868	11	5
aero	26	0.384950	0.421731	0.912786	0.048119	14	2
aero	27	0.382569	0.421731	0.907140	0.047821	15	1
aero	28	0.386247	0.422757	0.913638	0.048281	13	3
aero	29	0.384721	0.418057	0.920260	0.048090	14	2
aero	30	0.385953	0.418057	0.923207	0.048244	13	3
aero	31	0.385953	0.418057	0.923207	0.048244	13	3
aero	32	0.389432	0.422757	0.921172	0.048679	12	4
aero	33	0.392981	0.421731	0.931829	0.049123	10	6
aero	34	0.384376	0.421731	0.911425	0.048047	14	2
aero	35	0.386821	0.422757	0.914996	0.048353	13	3
aero	36	0.386527	0.418057	0.924580	0.048316	13	3
aero	37	0.390664	0.422757	0.924086	0.048833	11	5
aero	38	0.390728	0.422757	0.924238	0.048841	11	5
aero	39	0.391603	0.421731	0.928561	0.048950	10	6
areal	0	0.391175	0.421731	0.927546	0.048897	11	5
areal	1	0.398166	0.422757	0.941832	0.049771	8	8
areal	2	0.389860	0.422757	0.922185	0.048732	11	5
areal	3	0.391749	0.421731	0.928907	0.048969	11	5
areal	4	0.395855	0.422757	0.936365	0.049482	8	8
areal	5	0.388793	0.421731	0.921898	0.048599	12	4
areal	6	0.390600	0.421731	0.926183	0.048825	11	5
areal	7	0.383572	0.408867	0.938134	0.047947	14	2
areal	8	0.393850	0.422757	0.931623	0.049231	10	6
areal	9	0.391979	0.421731	0.929453	0.048997	11	5
areal	10	0.389796	0.421731	0.924276	0.048724	11	5
areal	11	0.397169	0.421731	0.941759	0.049646	8	8
areal	12	0.387791	0.421731	0.919522	0.048474	13	3
areal	13	0.397545	0.421731	0.942651	0.049693	9	7
areal	14	0.391009	0.422757	0.924902	0.048876	11	5
areal	15	0.389796	0.421731	0.924276	0.048724	11	5
areal	16	0.392752	0.421731	0.931286	0.049094	10	6
areal	17	0.398331	0.422757	0.942222	0.049791	8	8
areal	18	0.395656	0.422757	0.935895	0.049457	9	7
areal	19	0.390070	0.422757	0.922681	0.048759	12	4
areal	20	0.392745	0.422757	0.929009	0.049093	11	5
areal	21	0.389860	0.422757	0.922185	0.048732	11	5
areal	22	0.386247	0.422757	0.913638	0.048281	13	3
areal	23	0.386757	0.421731	0.917070	0.048345	13	3
areal	24	0.384146	0.418057	0.918884	0.048018	14	2
areal	25	0.395164	0.421731	0.937005	0.049396	10	6
areal	26	0.384950	0.421731	0.912786	0.048119	14	2
areal	27	0.382339	0.418057	0.914562	0.047792	15	1
areal	28	0.384376	0.421731	0.911425	0.048047	14	2
areal	29	0.386247	0.422757	0.913638	0.048281	13	3
areal	30	0.388564	0.421731	0.921355	0.048571	12	4
areal	31	0.393180	0.418057	0.940494	0.049147	9	7
areal	32	0.389368	0.421731	0.923262	0.048671	12	4
areal	33	0.393046	0.422757	0.929721	0.049131	10	6
areal	34	0.389567	0.418057	0.931851	0.048696	11	5
areal	35	0.385953	0.418057	0.923207	0.048244	13	3
areal	36	0.388564	0.421731	0.921355	0.048571	12	4
areal	37	0.391303	0.422757	0.925598	0.048913	11	5
areal	38	0.386757	0.421731	0.917070	0.048345	13	3
