controller	n_methods	mean_cost_ratio	sd_cost_ratio	ci95_sd_cost_lo	ci95_sd_cost_hi	mean_retention	sd_retention	ci95_sd_ret_lo	ci95_sd_ret_hi
STATIC_G4	4	0.5000	0.0000	0.0000	0.0000	0.7462	0.0082	0.0010	0.0098
STATIC_G8	4	1.0000	0.0000	0.0000	0.0000	0.9938	0.0108	0.0000	0.0125
STATIC_G16	4	2.0000	0.0000	0.0000	0.0000	1.1481	0.0139	0.0004	0.0169
DUALFORMER_STEP	4	1.5063	0.3154	0.0000	0.3750	1.0276	0.0167	0.0032	0.0203
UNIFIED_STEP_C4	4	1.5125	0.0839	0.0125	0.1016	1.0719	0.0080	0.0002	0.0097
