method	controller	threshold	fires	saved_prompts	wasted_prompts	rollouts_used	baseline_fixed_g	cost_ratio	saved_per_fire
grpo	zvf_triage	0.5	39	0	450	10112	5120	1.975	0.0
grpo	zvf_triage	0.6	33	0	384	9344	5120	1.825	0.0
grpo	zvf_triage	0.7	19	0	229	7552	5120	1.475	0.0
grpo	zvf_triage	0.8	12	0	148	6656	5120	1.3	0.0
grpo	zvf_triage	0.9	2	0	26	5376	5120	1.05	0.0
grpo	dualformer_auto	0	40	0	461	3354	5120	0.655	0.0
grpo	oracle	0	40	0	461	6552	5120	1.28	0.0
aero	zvf_triage	0.5	39	0	450	10112	5120	1.975	0.0
aero	zvf_triage	0.6	34	0	396	9472	5120	1.85	0.0
aero	zvf_triage	0.7	19	0	223	7552	5120	1.475	0.0
aero	zvf_triage	0.8	14	0	172	6912	5120	1.35	0.0
aero	zvf_triage	0.9	1	0	13	5248	5120	1.025	0.0
aero	dualformer_auto	0	40	0	461	3466	5120	0.677	0.0
aero	oracle	0	40	0	461	6552	5120	1.28	0.0
gift	zvf_triage	0.5	39	0	481	10112	5120	1.975	0.0
gift	zvf_triage	0.6	36	0	446	9728	5120	1.9	0.0
gift	zvf_triage	0.7	25	0	325	8320	5120	1.625	0.0
gift	zvf_triage	0.8	16	0	223	7168	5120	1.4	0.0
gift	zvf_triage	0.9	8	0	113	6144	5120	1.2	0.0
gift	dualformer_auto	0	40	0	493	3178	5120	0.621	0.0
gift	oracle	0	40	0	493	6296	5120	1.23	0.0
areal	zvf_triage	0.5	39	0	441	10112	5120	1.975	0.0
areal	zvf_triage	0.6	32	0	361	9216	5120	1.8	0.0
areal	zvf_triage	0.7	16	0	186	7168	5120	1.4	0.0
areal	zvf_triage	0.8	11	0	134	6528	5120	1.275	0.0
areal	zvf_triage	0.9	1	0	14	5248	5120	1.025	0.0
areal	dualformer_auto	0	40	0	452	3448	5120	0.673	0.0
areal	oracle	0	40	0	452	6624	5120	1.294	0.0
