epsilon	tree	metric	value	n_test	n_test_pos
0.0	XGB-20raw	auc	0.9999267225829725	10000	144
0.0	XGB-20raw	brier	0.009079196490347385	10000	144
0.0	XGB-20raw	ece10	0.05424176528006792	10000	144
0.0	XGB-20raw	f1_at_0.5	0.8470588235294118	10000	144
0.0	XGB-20raw	tau_star	0.75398188829422	10000	144
0.0	XGB-20raw	cost_at_tau_star	109.5	10000	144
0.0	XGB-20raw	cost_per_dec	0.01095	10000	144
0.0	XGB-20raw	caught_recall_at_K2pct	1.0	10000	144
0.0	XGB-24full	auc	0.9999506786616162	10000	144
0.0	XGB-24full	brier	0.00849305558949709	10000	144
0.0	XGB-24full	ece10	0.052725020308606325	10000	144
0.0	XGB-24full	f1_at_0.5	0.844574780058651	10000	144
0.0	XGB-24full	tau_star	0.7158051133155823	10000	144
0.0	XGB-24full	cost_at_tau_star	110.0	10000	144
0.0	XGB-24full	cost_per_dec	0.011	10000	144
0.0	XGB-24full	caught_recall_at_K2pct	1.0	10000	144
0.005	XGB-20raw	auc	0.9988797010281385	10000	144
0.005	XGB-20raw	brier	0.022749092429876328	10000	144
0.005	XGB-20raw	ece10	0.10200027854777872	10000	144
0.005	XGB-20raw	f1_at_0.5	0.7076167076167076	10000	144
0.005	XGB-20raw	tau_star	0.6739150881767273	10000	144
0.005	XGB-20raw	cost_at_tau_star	131.0	10000	144
0.005	XGB-20raw	cost_per_dec	0.0131	10000	144
0.005	XGB-20raw	caught_recall_at_K2pct	1.0	10000	144
0.005	XGB-24full	auc	0.9990030043740982	10000	144
0.005	XGB-24full	brier	0.02271914668381214	10000	144
0.005	XGB-24full	ece10	0.10356114505715668	10000	144
0.005	XGB-24full	f1_at_0.5	0.7164179104477612	10000	144
0.005	XGB-24full	tau_star	0.6483975648880005	10000	144
0.005	XGB-24full	cost_at_tau_star	136.0	10000	144
0.005	XGB-24full	cost_per_dec	0.0136	10000	144
0.005	XGB-24full	caught_recall_at_K2pct	0.9930555555555556	10000	144
0.01	XGB-20raw	auc	0.9968695041937229	10000	144
0.01	XGB-20raw	brier	0.03825997933745384	10000	144
0.01	XGB-20raw	ece10	0.14406987991482018	10000	144
0.01	XGB-20raw	f1_at_0.5	0.5841784989858012	10000	144
0.01	XGB-20raw	tau_star	0.6048498749732971	10000	144
0.01	XGB-20raw	cost_at_tau_star	171.0	10000	144
0.01	XGB-20raw	cost_per_dec	0.0171	10000	144
0.01	XGB-20raw	caught_recall_at_K2pct	0.8472222222222222	10000	144
0.01	XGB-24full	auc	0.9971048374368687	10000	144
0.01	XGB-24full	brier	0.03731289505958557	10000	144
0.01	XGB-24full	ece10	0.14404785317927601	10000	144
0.01	XGB-24full	f1_at_0.5	0.6063157894736843	10000	144
0.01	XGB-24full	tau_star	0.5866908431053162	10000	144
0.01	XGB-24full	cost_at_tau_star	178.0	10000	144
0.01	XGB-24full	cost_per_dec	0.0178	10000	144
0.01	XGB-24full	caught_recall_at_K2pct	0.8611111111111112	10000	144
0.02	XGB-20raw	auc	0.9886575013528138	10000	144
0.02	XGB-20raw	brier	0.06851012259721756	10000	144
0.02	XGB-20raw	ece10	0.21478696791343393	10000	144
0.02	XGB-20raw	f1_at_0.5	0.44976076555023925	10000	144
0.02	XGB-20raw	tau_star	0.5429019331932068	10000	144
0.02	XGB-20raw	cost_at_tau_star	540.0	10000	144
0.02	XGB-20raw	cost_per_dec	0.054	10000	144
0.02	XGB-20raw	caught_recall_at_K2pct	0.7083333333333334	10000	144
0.02	XGB-24full	auc	0.9854255445075758	10000	144
0.02	XGB-24full	brier	0.06756765395402908	10000	144
0.02	XGB-24full	ece10	0.21472985367402433	10000	144
0.02	XGB-24full	f1_at_0.5	0.4444444444444444	10000	144
0.02	XGB-24full	tau_star	0.5613084435462952	10000	144
0.02	XGB-24full	cost_at_tau_star	429.5	10000	144
0.02	XGB-24full	cost_per_dec	0.04295	10000	144
0.02	XGB-24full	caught_recall_at_K2pct	0.7291666666666666	10000	144
0.05	XGB-20raw	auc	0.9787065690386003	10000	144
0.05	XGB-20raw	brier	0.1240270733833313	10000	144
0.05	XGB-20raw	ece10	0.3172907225221396	10000	144
0.05	XGB-20raw	f1_at_0.5	0.25788497217068646	10000	144
0.05	XGB-20raw	tau_star	0.4783828556537628	10000	144
0.05	XGB-20raw	cost_at_tau_star	917.5	10000	144
0.05	XGB-20raw	cost_per_dec	0.09175	10000	144
0.05	XGB-20raw	caught_recall_at_K2pct	0.5347222222222222	10000	144
0.05	XGB-24full	auc	0.9799367841360029	10000	144
0.05	XGB-24full	brier	0.12136795371770859	10000	144
0.05	XGB-24full	ece10	0.31389519020467993	10000	144
0.05	XGB-24full	f1_at_0.5	0.2513562386980108	10000	144
0.05	XGB-24full	tau_star	0.5151083469390869	10000	144
0.05	XGB-24full	cost_at_tau_star	969.5	10000	144
0.05	XGB-24full	cost_per_dec	0.09695	10000	144
0.05	XGB-24full	caught_recall_at_K2pct	0.5694444444444444	10000	144
