axis_version	spearman_rho	n_pairs
v1	0.435758	4753
v2.0	0.380396	4753
v2.1	0.436331	4753
v2.2_all	0.511060	4753
v2.2_item13+14	0.467245	4753
v2.2_item13+15	0.480552	4753
v2.2_item13+16	0.475608	4753
v2.2_item13+17	0.467096	4753
single_item14	0.558194	4753
single_item15	0.587594	4753
single_item16	0.588761	4753
single_item17	0.556297	4753
