metric	n_rows	eta2	omega2	H1_decisive_le_0p05	H1_decisive_le_0p10	ss_axis	ss_within	ss_total
zvf	160	0.04542	0.02655	1	1	0.094995	1.996582	2.091577
pcd	160	0.03573	0.01686	1	1	0.002701	0.072904	0.075605
larq	160	0.00102	0.0	1	1	0.000612	0.601033	0.601646
reward_mean	160	0.00747	0.0	1	1	0.007385	0.981744	0.98913
mean_len	160	0.06314	0.04427	0	1	8723.292683	129441.189491	138164.482174
cv_len	160	0.04575	0.02688	1	1	0.009998	0.208549	0.218546
loss	160	0.98665	0.96778	0	0	9566771784.217875	129430566.178423	9696202350.396297
