estimand	point	ci_lower	ci_upper	p_value
NDE	0.004979	-0.022689	0.033910	0.716000
NIE	0.008538	-0.014193	0.026532	0.556000
TE	0.013516	-0.021500	0.046554	0.504000
GER	0.631662	-5.100788	6.597537	0.504000
PM	0.631662	-5.100788	6.597537	0.504000
