method	seed	step	group_size	zvf	frac_all_zero	frac_all_one	pcd	larq	reward_mean	mean_len	cv_len	lag1_autocorr	loss
grpo	0	0	4	0.75	0.75	0.0	0.046875	0.15625	0.0625	128.0	0.0	nan	0.28108978271484375
grpo	0	1	4	1.0	1.0	0.0	0.0	0.0	0.0	128.0	0.0	nan	None
aero	0	0	4	0.75	0.75	0.0	0.046875	0.28125	0.1875	128.0	0.0	nan	0.8641433715820312
aero	0	1	4	1.0	1.0	0.0	0.0	0.0	0.0	128.0	0.0	nan	None
gift	0	0	4	0.75	0.75	0.0	0.0625	0.25	0.125	128.0	0.0	nan	-127.62226676940918
gift	0	1	4	1.0	1.0	0.0	0.0	0.0	0.0	128.0	0.0	nan	None
areal	0	0	4	1.0	1.0	0.0	0.0	0.0	0.0	128.0	0.0	nan	None
areal	0	1	4	1.0	1.0	0.0	0.0	0.0	0.0	128.0	0.0	nan	None
grpo	0	0	4	0.75	0.75	0.0	0.046875	0.15625	0.0625	128.0	0.0	nan	0.40724945068359375
grpo	0	1	4	0.75	0.75	0.0	0.0625	0.25	0.125	128.0	0.0	nan	0.7273712158203125
aero	0	0	4	0.75	0.75	0.0	0.046875	0.15625	0.0625	128.0	0.0	nan	-0.5604095458984375
aero	0	1	4	1.0	1.0	0.0	0.0	0.0	0.0	128.0	0.0	nan	None
