method	seed	step	group_size	zvf	frac_all_zero	frac_all_one	pcd	larq	reward_mean	mean_len	cv_len	lag1_autocorr	loss
grpo	0	0	8	0.6875	0.0	0.6875	0.0595703125	0.939453125	0.8203125	355.578125	0.3117593874497673	nan	481.7136459350586
grpo	0	1	8	0.625	0.0	0.625	0.068359375	0.94921875	0.8125	360.4375	0.3134510594967864	nan	256.7622413635254
grpo	0	2	8	0.75	0.0625	0.6875	0.0400390625	0.916015625	0.8359375	386.4921875	0.23400031118747236	-1.0	196.7526741027832
grpo	0	3	8	0.625	0.125	0.5	0.0654296875	0.888671875	0.7578125	408.984375	0.20794266038475806	-0.9993216505720213	735.6188735961914
grpo	0	4	8	0.625	0.0625	0.5625	0.0712890625	0.947265625	0.8046875	390.78125	0.26960374371901735	-0.32441743966240155	361.03623962402344
grpo	0	5	8	0.6875	0.125	0.5625	0.0546875	0.78125	0.671875	407.8359375	0.2558222521063002	-0.11476030961480722	229.50238800048828
grpo	0	6	8	0.6875	0.0625	0.625	0.052734375	0.88671875	0.78125	384.15625	0.23110767817279096	-0.07927500415973678	348.48780822753906
grpo	0	7	8	0.875	0.1875	0.6875	0.02734375	0.8203125	0.765625	396.6796875	0.24105897071434343	-0.07751672313981228	92.0433120727539
grpo	0	8	8	0.6875	0.0625	0.625	0.0546875	0.84375	0.734375	372.078125	0.3127432001576031	-0.03922458901617924	91.84776306152344
grpo	0	9	8	0.6875	0.0	0.6875	0.056640625	0.94140625	0.828125	371.15625	0.2720557742730394	-0.1483377308376187	240.89702606201172
grpo	0	10	8	0.6875	0.0625	0.625	0.046875	0.96875	0.875	383.5390625	0.23300840013736585	0.013752947057169512	312.7029950618744
grpo	0	11	8	0.5	0.0	0.5	0.078125	0.890625	0.734375	376.0625	0.3046817399385241	-0.1970363033391887	228.2825164794922
grpo	0	12	8	0.8125	0.0	0.8125	0.037109375	0.99609375	0.921875	346.6171875	0.23554338672885444	-0.2870079889322566	240.83979034423828
grpo	0	13	8	0.5625	0.0625	0.5	0.0830078125	0.908203125	0.7421875	391.7265625	0.26505002093036406	-0.3406949495885069	403.4564514160156
grpo	0	14	8	0.6875	0.0	0.6875	0.0576171875	0.966796875	0.8515625	355.1171875	0.29474732094397116	-0.3943284832599294	356.63421630859375
grpo	0	15	8	0.6875	0.0	0.6875	0.046875	0.9375	0.84375	375.359375	0.2505629726431453	-0.4758562649507976	259.3661193847656
grpo	0	16	8	0.625	0.0625	0.5625	0.05078125	0.8359375	0.734375	370.0078125	0.2861853800747741	-0.5472985365516536	604.8956527709961
grpo	0	17	8	0.5	0.0625	0.4375	0.0830078125	0.923828125	0.7578125	392.1953125	0.2598384904954983	-0.5277067611346719	777.7786407470703
grpo	0	18	8	0.6875	0.1875	0.5	0.0654296875	0.810546875	0.6796875	426.8203125	0.20087100588562462	-0.2878720031397393	248.45802068710327
grpo	0	19	8	0.6875	0.0	0.6875	0.0478515625	0.853515625	0.7578125	361.0625	0.30615293871385346	-0.23953895866230857	182.9217586517334
grpo	0	20	8	0.6875	0.0	0.6875	0.0634765625	0.994140625	0.8671875	367.8671875	0.2567095718076288	-0.1975414257735445	778.6685638427734
grpo	0	21	8	0.6875	0.0	0.6875	0.0517578125	0.955078125	0.8515625	353.7265625	0.29031578421585746	0.055808618049642024	319.6483383178711
grpo	0	22	8	0.8125	0.0	0.8125	0.0205078125	0.970703125	0.9296875	321.6796875	0.28744649128797567	0.4129907985490699	247.648193359375
grpo	0	23	8	0.9375	0.0625	0.875	0.0146484375	0.927734375	0.8984375	359.59375	0.23761566050272584	0.5899774373228037	-0.9160728454589844
grpo	0	24	8	0.8125	0.0	0.8125	0.029296875	0.96484375	0.90625	344.1484375	0.28303033500365976	0.6373404008838426	205.14244842529297
grpo	0	25	8	0.6875	0.0	0.6875	0.0576171875	0.966796875	0.8515625	350.8203125	0.2414853166899474	0.720121592924992	500.0919532775879
grpo	0	26	8	0.8125	0.0625	0.75	0.029296875	0.90234375	0.84375	350.8203125	0.25302152281320184	0.6792284788935014	208.42196559906006
grpo	0	27	8	0.875	0.0	0.875	0.0224609375	1.005859375	0.9609375	341.6015625	0.21465526733138326	0.589078937944543	163.98999786376953
grpo	0	28	8	0.625	0.0	0.625	0.0673828125	0.986328125	0.8515625	376.4921875	0.2618353548161398	-0.14291416555986203	1004.9545879364014
grpo	0	29	8	0.75	0.0	0.75	0.0498046875	1.013671875	0.9140625	351.296875	0.2578706737013598	-0.42846157665764095	532.9136352539062
grpo	0	30	8	0.625	0.0	0.625	0.0556640625	1.009765625	0.8984375	338.28125	0.28109916432122434	-0.49940661722475965	826.7678174972534
grpo	0	31	8	0.75	0.0625	0.6875	0.03515625	0.9609375	0.890625	344.0546875	0.2875683587926616	-0.43570454802326697	367.5793285369873
grpo	0	32	8	0.8125	0.0625	0.75	0.029296875	0.90234375	0.84375	332.8203125	0.3187021287740587	-0.45356767478303545	259.83656120300293
grpo	0	33	8	0.8125	0.0	0.8125	0.03515625	0.9921875	0.921875	332.9296875	0.31594262098116693	-0.5434522846240561	243.2862892150879
grpo	0	34	8	0.9375	0.0625	0.875	0.0146484375	0.943359375	0.9140625	355.0	0.25359642856639486	-0.4170553968751874	68.40621948242188
grpo	0	35	8	0.875	0.0625	0.8125	0.021484375	0.90234375	0.859375	372.3359375	0.23981577439587634	-0.6805562802910758	43.67328643798828
