strategy	seed	evaluations	running_postvar
RANDOM	0	6	0.0545
RANDOM	0	7	0.0525
RANDOM	0	8	0.0570
RANDOM	0	9	0.0632
RANDOM	0	10	0.0697
RANDOM	0	11	0.0557
RANDOM	0	12	0.0651
RANDOM	1	6	0.0373
RANDOM	1	7	0.0326
RANDOM	1	8	0.0362
RANDOM	1	9	0.0347
RANDOM	1	10	0.0546
RANDOM	1	11	0.0586
RANDOM	1	12	0.0597
RANDOM	2	6	0.0554
RANDOM	2	7	0.0560
RANDOM	2	8	0.0529
RANDOM	2	9	0.0419
RANDOM	2	10	0.0360
RANDOM	2	11	0.0351
RANDOM	2	12	0.0290
RANDOM	3	6	0.0789
RANDOM	3	7	0.0901
RANDOM	3	8	0.0771
RANDOM	3	9	0.0732
RANDOM	3	10	0.0703
RANDOM	3	11	0.0364
RANDOM	3	12	0.0371
RANDOM	4	6	0.0696
RANDOM	4	7	0.0509
RANDOM	4	8	0.0376
RANDOM	4	9	0.0443
RANDOM	4	10	0.0433
RANDOM	4	11	0.0563
RANDOM	4	12	0.0628
GRIDSEARCH	0	6	0.0405
GRIDSEARCH	0	7	0.0424
GRIDSEARCH	0	8	0.0418
GRIDSEARCH	0	9	0.0426
GRIDSEARCH	0	10	0.0395
GRIDSEARCH	0	11	0.0398
GRIDSEARCH	0	12	0.0013
GRIDSEARCH	0	13	0.0011
GRIDSEARCH	0	14	0.0015
GRIDSEARCH	0	15	0.0567
GRIDSEARCH	0	16	0.0717
GRIDSEARCH	0	17	0.0705
GRIDSEARCH	0	18	0.0687
GRIDSEARCH	0	19	0.0653
GRIDSEARCH	0	20	0.0693
GRIDSEARCH	0	21	0.0283
GRIDSEARCH	0	22	0.0116
GRIDSEARCH	0	23	0.0353
GRIDSEARCH	0	24	0.0439
GRIDSEARCH	0	25	0.0477
GRIDSEARCH	0	26	0.0318
GRIDSEARCH	0	27	0.0408
GRIDSEARCH	0	28	0.0619
GRIDSEARCH	0	29	0.0782
GRIDSEARCH	0	30	0.0804
GRIDSEARCH	0	31	0.0697
GRIDSEARCH	0	32	0.0598
GRIDSEARCH	0	33	0.0493
GRIDSEARCH	0	34	0.0437
GRIDSEARCH	0	35	0.0101
GRIDSEARCH	0	36	0.0413
GRIDSEARCH	0	37	0.0548
GRIDSEARCH	0	38	0.0593
GRIDSEARCH	0	39	0.0660
GRIDSEARCH	0	40	0.0433
GRIDSEARCH	0	41	0.0008
GRIDSEARCH	0	42	0.0334
GRIDSEARCH	0	43	0.0390
GRIDSEARCH	0	44	0.0510
GRIDSEARCH	0	45	0.0530
GRIDSEARCH	0	46	0.0477
GRIDSEARCH	0	47	0.0346
GRIDSEARCH	0	48	0.0357
GRIDSEARCH	1	6	0.0552
GRIDSEARCH	1	7	0.0431
GRIDSEARCH	1	8	0.0421
GRIDSEARCH	1	9	0.0464
GRIDSEARCH	1	10	0.0232
GRIDSEARCH	1	11	0.0554
GRIDSEARCH	1	12	0.0610
GRIDSEARCH	1	13	0.0747
GRIDSEARCH	1	14	0.0822
GRIDSEARCH	1	15	0.0807
GRIDSEARCH	1	16	0.0902
GRIDSEARCH	1	17	0.0739
GRIDSEARCH	1	18	0.0689
GRIDSEARCH	1	19	0.0663
GRIDSEARCH	1	20	0.0673
GRIDSEARCH	1	21	0.0657
GRIDSEARCH	1	22	0.0519
GRIDSEARCH	1	23	0.0452
GRIDSEARCH	1	24	0.0513
GRIDSEARCH	1	25	0.0453
GRIDSEARCH	1	26	0.0106
GRIDSEARCH	1	27	0.0328
GRIDSEARCH	1	28	0.0478
GRIDSEARCH	1	29	0.0480
GRIDSEARCH	1	30	0.0529
GRIDSEARCH	1	31	0.0491
GRIDSEARCH	1	32	0.0495
GRIDSEARCH	1	33	0.0480
GRIDSEARCH	1	34	0.0435
GRIDSEARCH	1	35	0.0292
GRIDSEARCH	1	36	0.0280
GRIDSEARCH	1	37	0.0288
GRIDSEARCH	1	38	0.0548
GRIDSEARCH	1	39	0.0407
GRIDSEARCH	1	40	0.0389
GRIDSEARCH	1	41	0.0386
GRIDSEARCH	1	42	0.0651
GRIDSEARCH	1	43	0.0759
GRIDSEARCH	1	44	0.0729
GRIDSEARCH	1	45	0.0713
GRIDSEARCH	1	46	0.0713
GRIDSEARCH	1	47	0.0796
GRIDSEARCH	1	48	0.0757
GRIDSEARCH	2	6	0.0536
GRIDSEARCH	2	7	0.0384
GRIDSEARCH	2	8	0.0453
GRIDSEARCH	2	9	0.0572
GRIDSEARCH	2	10	0.0346
GRIDSEARCH	2	11	0.0366
GRIDSEARCH	2	12	0.0380
GRIDSEARCH	2	13	0.0572
GRIDSEARCH	2	14	0.0548
GRIDSEARCH	2	15	0.0503
GRIDSEARCH	2	16	0.0357
GRIDSEARCH	2	17	0.0338
GRIDSEARCH	2	18	0.0341
GRIDSEARCH	2	19	0.0359
GRIDSEARCH	2	20	0.0005
GRIDSEARCH	2	21	0.0005
GRIDSEARCH	2	22	0.0014
GRIDSEARCH	2	23	0.0017
GRIDSEARCH	2	24	0.0355
GRIDSEARCH	2	25	0.0524
GRIDSEARCH	2	26	0.0678
GRIDSEARCH	2	27	0.0746
GRIDSEARCH	2	28	0.0850
GRIDSEARCH	2	29	0.0931
GRIDSEARCH	2	30	0.0964
GRIDSEARCH	2	31	0.0890
GRIDSEARCH	2	32	0.0520
GRIDSEARCH	2	33	0.0715
GRIDSEARCH	2	34	0.0683
GRIDSEARCH	2	35	0.0588
GRIDSEARCH	2	36	0.0572
GRIDSEARCH	2	37	0.0580
GRIDSEARCH	2	38	0.0690
GRIDSEARCH	2	39	0.0419
GRIDSEARCH	2	40	0.0014
GRIDSEARCH	2	41	0.0309
GRIDSEARCH	2	42	0.0327
GRIDSEARCH	2	43	0.0319
GRIDSEARCH	2	44	0.0298
GRIDSEARCH	2	45	0.0359
GRIDSEARCH	2	46	0.0512
GRIDSEARCH	2	47	0.0417
GRIDSEARCH	2	48	0.0476
GRIDSEARCH	3	6	0.0741
GRIDSEARCH	3	7	0.0683
GRIDSEARCH	3	8	0.0547
GRIDSEARCH	3	9	0.0581
GRIDSEARCH	3	10	0.0531
GRIDSEARCH	3	11	0.0541
GRIDSEARCH	3	12	0.0527
GRIDSEARCH	3	13	0.0552
GRIDSEARCH	3	14	0.0632
GRIDSEARCH	3	15	0.0330
GRIDSEARCH	3	16	0.0475
GRIDSEARCH	3	17	0.0572
GRIDSEARCH	3	18	0.0558
GRIDSEARCH	3	19	0.0545
GRIDSEARCH	3	20	0.0567
GRIDSEARCH	3	21	0.0555
GRIDSEARCH	3	22	0.0591
GRIDSEARCH	3	23	0.0430
GRIDSEARCH	3	24	0.0458
GRIDSEARCH	3	25	0.0470
GRIDSEARCH	3	26	0.0495
GRIDSEARCH	3	27	0.0492
GRIDSEARCH	3	28	0.0507
GRIDSEARCH	3	29	0.0540
GRIDSEARCH	3	30	0.0585
GRIDSEARCH	3	31	0.0384
GRIDSEARCH	3	32	0.0009
GRIDSEARCH	3	33	0.0562
GRIDSEARCH	3	34	0.0611
GRIDSEARCH	3	35	0.0609
GRIDSEARCH	3	36	0.0544
GRIDSEARCH	3	37	0.0577
GRIDSEARCH	3	38	0.0529
GRIDSEARCH	3	39	0.0216
GRIDSEARCH	3	40	0.0380
GRIDSEARCH	3	41	0.0382
GRIDSEARCH	3	42	0.0404
GRIDSEARCH	3	43	0.0580
GRIDSEARCH	3	44	0.0718
GRIDSEARCH	3	45	0.0767
GRIDSEARCH	3	46	0.0729
GRIDSEARCH	3	47	0.0754
GRIDSEARCH	3	48	0.0727
GRIDSEARCH	4	6	0.0253
GRIDSEARCH	4	7	0.0409
GRIDSEARCH	4	8	0.0629
