G	N_prompts	Y_mean	Y_SE	n_folds
4	50	0.636024	0.014026	12
4	100	0.636024	0.016211	6
4	200	0.636024	0.015133	3
32	50	0.837969	0.015433	12
32	100	0.837969	0.018804	6
32	200	0.837969	0.017372	3
