task	algo	seed	last10_len	last10_reward	apt_10	apt_5	apt_median	apt_efficiency_ratio	expected_acc_after_30pct_cap	expected_acc_drop	length_saved_frac
arithmetic_easy_qwen2.5-0.5b	grpo	42	4.5492	0.978906	0.21518201002374046	0.08556927364344853	0.21640217375704185	0.9943615920666709	0.9772501585930851	0.001655841406914993	0.3
arithmetic_easy_qwen2.5-0.5b	grpo	123	4.5305	0.985938	0.21762233749034324	0.09252569072164948	0.21640217375704185	1.0	0.985938	0.0	0.3
arithmetic_easy_qwen2.5-0.5b	grpo	456	4.4625	0.989844	0.221813781512605	0.09253056093163282	0.21640217375704185	1.0	0.989844	0.0	0.3
arithmetic_easy_qwen2.5-0.5b	grpo	789	4.493	0.994531	0.22135121299799687	0.08892820080425476	0.21640217375704185	1.0	0.994531	0.0	0.3
arithmetic_easy_qwen2.5-0.5b	grpo	1024	4.4969	0.991406	0.22046431986479575	0.0813373253493014	0.21640217375704185	1.0	0.991406	0.0	0.3
arithmetic_easy_qwen2.5-0.5b	dr_grpo	42	4.5367	0.971094	0.21405294597394584	0.07822085889570553	0.21640217375704185	0.9891441581093657	0.9679313871225169	0.0031626128774830953	0.3
arithmetic_easy_qwen2.5-0.5b	dr_grpo	123	4.5234	0.9875	0.218309236415086	0.08435891416978254	0.21640217375704185	1.0	0.9875	0.0	0.3
arithmetic_easy_qwen2.5-0.5b	dr_grpo	456	4.5422	0.991406	0.21826559816828847	0.08811188227835429	0.21640217375704185	1.0	0.991406	0.0	0.3
arithmetic_easy_qwen2.5-0.5b	dr_grpo	789	4.4938	0.992188	0.22079042235969557	0.08095723014256619	0.21640217375704185	1.0	0.992188	0.0	0.3
arithmetic_easy_qwen2.5-0.5b	dr_grpo	1024	4.5	0.998437	0.2218748888888889	0.0863529450466306	0.21640217375704185	1.0	0.998437	0.0	0.3
gsm8k_cot_hard_qwen2.5-1.5b	grpo	42	177.4281	0.273438	0.0015411200367923684	0.0011016029120633501	0.21640217375704185	0.007121555250746272	0.1919907911473961	0.08144720885260393	0.3
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	184.7891	0.2625	0.0014205383326181037	0.0014840387119886066	0.21640217375704185	0.006564344100410769	0.18426694209790737	0.07823305790209265	0.3
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	191.0969	0.257812	0.00134911660000764	0.0011195878483645572	0.21640217375704185	0.006234302440613718	0.18095058339424583	0.07686141660575416	0.3
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	188.1891	0.25625	0.001361662285435235	0.0011519242001427736	0.21640217375704185	0.006292276375023824	0.17985871874632994	0.07639128125367003	0.3
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	186.6781	0.264062	0.0014145312171058096	0.0013903935318116865	0.21640217375704185	0.006536585065425111	0.1853612191176639	0.07870078088233612	0.3
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	193.125	0.235937	0.0012216802588996764	0.0010536732197903586	0.21640217375704185	0.0056454158370482736	0.1655554887429037	0.0703815112570963	0.3
