alpha	G	zvf_true	zvf_obs	deflation_pp
0.00	8	1.0000	1.0000	+0.0000
0.02	8	1.0000	0.8508	+0.1492
0.05	8	1.0000	0.6634	+0.3366
0.10	8	1.0000	0.4305	+0.5695
0.20	8	1.0000	0.1678	+0.8322
