group_size	seed	M_peaklearn	M_terminal	peak_lt_term	rho_M_advvar
2	42	0.5625	0.9250	1	-0.5820
2	123	0.3125	0.9625	1	-0.5458
2	456	0.0625	0.9750	1	-0.4748
4	42	0.3750	0.9250	1	-0.3822
4	123	0.8750	0.9812	1	-0.4451
4	456	0.6250	0.9563	1	-0.5250
8	42	0.1406	0.9531	1	-0.4484
8	123	0.9375	0.9781	1	-0.3110
8	456	0.0000	0.9719	1	-0.3920
16	42	0.0078	0.9719	1	-0.3042
16	123	0.9141	0.9766	1	-0.3078
16	456	0.0234	0.9875	1	-0.4249
