metric	n	mean_diff	s_d	se	t	p_two	mde_80	mde_50	obs_power	power_at_5pt
heldout	5	-0.002	0.004472	0.002	-1	0.3739	0.007522	0.005157	0.1222	1
last10	5	0.060781	0.107089	0.047892	1.2691	0.2732	0.180123	0.12349	0.1669	0.1288
