G	lone_wrong_naive_adv	lone_wrong_loo_adv	amplification	lone_corr_naive_adv	lone_corr_loo_adv
2	-0.500000	-1.000000	2.000000	0.500000	1.000000
4	-0.750000	-1.000000	1.333333	0.250000	1.000000
8	-0.875000	-1.000000	1.142857	0.125000	1.000000
